,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N)
366,FERRIS ISD,70905,D,Other Central City Suburban,41,Rural-Fringe,N
367,FLATONIA ISD,75901,H,Rural,43,Rural-Remote,N
368,FLORENCE ISD,246902,G,Non-metropolitan Stable,42,Rural-Distant,N
369,FLORESVILLE ISD,247901,E,Independent Town,32,Town-Distant,N
370,FLOUR BLUFF ISD,178914,D,Other Central City Suburban,11,City-Large,N
371,FLOYDADA ISD,77901,H,Rural,32,Town-Distant,N
372,FOLLETT ISD,148902,H,Rural,43,Rural-Remote,N
373,FORESTBURG ISD,169910,H,Rural,43,Rural-Remote,N
374,FORNEY ISD,129902,B,Major Suburban,41,Rural-Fringe,N
375,FORSAN ISD,114904,H,Rural,42,Rural-Distant,N
376,FORT BEND ISD,79907,B,Major Suburban,21,Suburb-Large,N
377,FORT ELLIOTT CISD,242906,H,Rural,43,Rural-Remote,N
378,FORT STOCKTON ISD,186902,G,Non-metropolitan Stable,33,Town-Remote,N
379,FORT WORTH ACADEMY OF FINE ARTS,220809,I,Charter School Districts,11,City-Large,Y
380,FORT WORTH ISD,220905,A,Major Urban,11,City-Large,N
381,FRANKLIN ISD,198903,D,Other Central City Suburban,42,Rural-Distant,N
382,FRANKSTON ISD,1904,H,Rural,42,Rural-Distant,N
383,FREDERICKSBURG ISD,86901,E,Independent Town,33,Town-Remote,N
384,FREER ISD,66903,H,Rural,43,Rural-Remote,N
385,FRENSHIP ISD,152907,D,Other Central City Suburban,22,Suburb-Midsize,N
386,FRIENDSWOOD ISD,84911,D,Other Central City Suburban,21,Suburb-Large,N
387,FRIONA ISD,185903,G,Non-metropolitan Stable,33,Town-Remote,N
388,FRISCO ISD,43905,C,Other Central City,21,Suburb-Large,N
389,FROST ISD,175905,H,Rural,42,Rural-Distant,N
390,FRUITVALE ISD,234909,H,Rural,42,Rural-Distant,N
391,FT DAVIS ISD,122901,H,Rural,43,Rural-Remote,N
392,FT HANCOCK ISD,115901,H,Rural,43,Rural-Remote,N
393,FT SAM HOUSTON ISD,15914,G,Non-metropolitan Stable,11,City-Large,N
394,GAINESVILLE ISD,49901,E,Independent Town,41,Rural-Fringe,N
395,GALENA PARK ISD,101910,B,Major Suburban,21,Suburb-Large,N
396,GALVESTON ISD,84902,D,Other Central City Suburban,31,Town-Fringe,N
397,GANADO ISD,120902,H,Rural,42,Rural-Distant,N
398,GARLAND ISD,57909,B,Major Suburban,21,Suburb-Large,N
399,GARNER ISD,184911,H,Rural,42,Rural-Distant,N
400,GARRISON ISD,174903,H,Rural,43,Rural-Remote,N
401,GARY ISD,183904,H,Rural,42,Rural-Distant,N
402,GATESVILLE ISD,50902,D,Other Central City Suburban,32,Town-Distant,N
403,GATEWAY CHARTER ACADEMY,57831,I,Charter School Districts,11,City-Large,Y
404,GAUSE ISD,166902,H,Rural,42,Rural-Distant,N
405,GEORGE GERVIN ACADEMY,15802,I,Charter School Districts,11,City-Large,Y
406,GEORGE I SANCHEZ CHARTER,101804,I,Charter School Districts,11,City-Large,Y
407,GEORGE WEST ISD,149901,G,Non-metropolitan Stable,43,Rural-Remote,N
408,GEORGETOWN ISD,246904,D,Other Central City Suburban,13,City-Small,N
409,GHOLSON ISD,161925,H,Rural,42,Rural-Distant,N
410,GIDDINGS ISD,144901,G,Non-metropolitan Stable,41,Rural-Fringe,N
411,GILMER ISD,230902,D,Other Central City Suburban,41,Rural-Fringe,N
412,GLADEWATER ISD,92901,D,Other Central City Suburban,23,Suburb-Small,N
413,GLASSCOCK COUNTY ISD,87901,H,Rural,43,Rural-Remote,N
414,GLEN ROSE ISD,213901,G,Non-metropolitan Stable,42,Rural-Distant,N
415,GODLEY ISD,126911,B,Major Suburban,42,Rural-Distant,N
416,GOLD BURG ISD,169906,H,Rural,42,Rural-Distant,N
417,GOLDEN RULE CHARTER SCHOOL,57835,I,Charter School Districts,11,City-Large,Y
418,GOLDTHWAITE ISD,167901,H,Rural,43,Rural-Remote,N
419,GOLIAD ISD,88902,G,Non-metropolitan Stable,42,Rural-Distant,N
420,GONZALES ISD,89901,G,Non-metropolitan Stable,32,Town-Distant,N
421,GOODRICH ISD,187903,H,Rural,42,Rural-Distant,N
422,GOODWATER MONTESSORI SCHOOL,246802,I,Charter School Districts,13,City-Small,Y
423,GOOSE CREEK CISD,101911,B,Major Suburban,13,City-Small,N
424,GORDON ISD,182901,H,Rural,43,Rural-Remote,N
425,GORMAN ISD,67904,H,Rural,43,Rural-Remote,N
426,GRADY ISD,156905,H,Rural,42,Rural-Distant,N
427,GRAFORD ISD,182902,H,Rural,43,Rural-Remote,N
428,GRAHAM ISD,252901,G,Non-metropolitan Stable,33,Town-Remote,N
429,GRANBURY ISD,111901,D,Other Central City Suburban,32,Town-Distant,N
430,GRAND PRAIRIE ISD,57910,B,Major Suburban,21,Suburb-Large,N
431,GRAND SALINE ISD,234904,G,Non-metropolitan Stable,32,Town-Distant,N
432,GRANDFALLS-ROYALTY ISD,238904,H,Rural,43,Rural-Remote,N
433,GRANDVIEW ISD,126904,G,Non-metropolitan Stable,42,Rural-Distant,N
434,GRANDVIEW-HOPKINS ISD,90905,H,Rural,43,Rural-Remote,N
435,GRANGER ISD,246905,H,Rural,42,Rural-Distant,N
436,GRAPE CREEK ISD,226907,D,Other Central City Suburban,41,Rural-Fringe,N
437,GRAPELAND ISD,113902,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
438,GRAPEVINE-COLLEYVILLE ISD,220906,B,Major Suburban,13,City-Small,N
439,GREAT HEARTS TEXAS,15835,I,Charter School Districts,11,City-Large,Y
440,GREENVILLE ISD,116905,E,Independent Town,32,Town-Distant,N
441,GREENWOOD ISD,165902,D,Other Central City Suburban,42,Rural-Distant,N
442,GREGORY-PORTLAND ISD,205902,D,Other Central City Suburban,21,Suburb-Large,N
443,GROESBECK ISD,147902,G,Non-metropolitan Stable,41,Rural-Fringe,N
444,GROOM ISD,33901,H,Rural,43,Rural-Remote,N
445,GROVETON ISD,228901,H,Rural,43,Rural-Remote,N
446,GRUVER ISD,98901,H,Rural,43,Rural-Remote,N
447,GUNTER ISD,91917,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
448,GUSTINE ISD,47903,H,Rural,43,Rural-Remote,N
449,GUTHRIE CSD,135001,H,Rural,43,Rural-Remote,N
450,HALE CENTER ISD,95903,H,Rural,42,Rural-Distant,N
451,HALLETTSVILLE ISD,143901,G,Non-metropolitan Stable,43,Rural-Remote,N
452,HALLSBURG ISD,161924,H,Rural,42,Rural-Distant,N
453,HALLSVILLE ISD,102904,D,Other Central City Suburban,31,Town-Fringe,N
454,HAMILTON ISD,97902,H,Rural,33,Town-Remote,N
455,HAMLIN COLLEGIATE ISD,127903,H,Rural,43,Rural-Remote,N
456,HAMSHIRE-FANNETT ISD,123914,D,Other Central City Suburban,42,Rural-Distant,N
457,HAPPY ISD,219901,H,Rural,42,Rural-Distant,N
458,HARDIN ISD,146904,G,Non-metropolitan Stable,42,Rural-Distant,N
459,HARDIN-JEFFERSON ISD,100905,D,Other Central City Suburban,42,Rural-Distant,N
460,HARLANDALE ISD,15904,B,Major Suburban,11,City-Large,N
461,HARLETON ISD,102905,H,Rural,42,Rural-Distant,N
462,HARLINGEN CISD,31903,D,Other Central City Suburban,13,City-Small,N
463,HARMONY ISD,230905,G,Non-metropolitan Stable,42,Rural-Distant,N
464,HARMONY SCHOOL OF EXCELLENCE,101858,I,Charter School Districts,11,City-Large,Y
465,HARMONY SCHOOL OF SCIENCE - HOUSTO,101862,I,Charter School Districts,12,City-Midsize,Y
466,HARMONY SCIENCE ACAD (EL PASO),71806,I,Charter School Districts,11,City-Large,Y
467,HARMONY SCIENCE ACAD (SAN ANTONIO),15828,I,Charter School Districts,11,City-Large,Y
468,HARMONY SCIENCE ACAD (WACO),161807,I,Charter School Districts,21,Suburb-Large,Y
469,HARMONY SCIENCE ACADEMY,101846,I,Charter School Districts,11,City-Large,Y
470,HARMONY SCIENCE ACADEMY (AUSTIN),227816,I,Charter School Districts,11,City-Large,Y
471,HARPER ISD,86902,H,Rural,43,Rural-Remote,N
472,HARRIS COUNTY DEPT OF ED,101000,,,21,Suburb-Large,N
473,HARROLD ISD,244901,H,Rural,42,Rural-Distant,N
474,HART ISD,35902,H,Rural,43,Rural-Remote,N
475,HARTLEY ISD,103902,H,Rural,43,Rural-Remote,N
476,HARTS BLUFF ISD,225907,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
477,HASKELL CISD,104901,H,Rural,33,Town-Remote,N
478,HAWKINS ISD,250902,H,Rural,42,Rural-Distant,N
479,HAWLEY ISD,127904,H,Rural,42,Rural-Distant,N
480,HAYS CISD,105906,B,Major Suburban,41,Rural-Fringe,N
481,HEARNE ISD,198905,H,Rural,32,Town-Distant,N
482,HEDLEY ISD,65902,H,Rural,43,Rural-Remote,N
483,HEMPHILL ISD,202903,G,Non-metropolitan Stable,43,Rural-Remote,N
484,HEMPSTEAD ISD,237902,G,Non-metropolitan Stable,32,Town-Distant,N
485,HENDERSON ISD,201902,E,Independent Town,32,Town-Distant,N
486,HENRIETTA ISD,39902,D,Other Central City Suburban,41,Rural-Fringe,N
487,HENRY FORD ACADEMY ALAMEDA SCHOOL,15833,I,Charter School Districts,11,City-Large,Y
488,HEREFORD ISD,59901,D,Other Central City Suburban,32,Town-Distant,N
489,HERITAGE ACADEMY,15815,I,Charter School Districts,33,Town-Remote,Y
490,HERMLEIGH ISD,208901,H,Rural,42,Rural-Distant,N
491,HICO ISD,97903,H,Rural,43,Rural-Remote,N
492,HIDALGO ISD,108905,D,Other Central City Suburban,21,Suburb-Large,N
493,HIGH ISLAND ISD,84903,H,Rural,43,Rural-Remote,N
494,HIGH POINT ACADEMY,220819,I,Charter School Districts,21,Suburb-Large,Y
495,HIGHLAND ISD,177905,H,Rural,42,Rural-Distant,N
496,HIGHLAND PARK ISD,57911,B,Major Suburban,21,Suburb-Large,N
497,HIGHLAND PARK ISD,188903,G,Non-metropolitan Stable,41,Rural-Fringe,N
498,HILLSBORO ISD,109904,E,Independent Town,32,Town-Distant,N
499,HITCHCOCK ISD,84908,G,Non-metropolitan Stable,22,Suburb-Midsize,N
500,HOLLAND ISD,14905,H,Rural,42,Rural-Distant,N
501,HOLLIDAY ISD,5902,D,Other Central City Suburban,42,Rural-Distant,N
502,HONDO ISD,163904,G,Non-metropolitan Stable,32,Town-Distant,N
503,HONEY GROVE ISD,74907,H,Rural,43,Rural-Remote,N
504,HOOKS ISD,19902,H,Rural,31,Town-Fringe,N
505,HORIZON MONTESSORI PUBLIC SCHOOLS,108802,I,Charter School Districts,12,City-Midsize,Y
506,HOUSTON CLASSICAL CHARTER SCHOOL,101878,I,Charter School Districts,21,Suburb-Large,Y
507,HOUSTON GATEWAY ACADEMY INC,101828,I,Charter School Districts,11,City-Large,Y
508,HOUSTON HEIGHTS HIGH SCHOOL,101821,I,Charter School Districts,11,City-Large,Y
509,HOUSTON ISD,101912,A,Major Urban,11,City-Large,N
510,HOWE ISD,91905,D,Other Central City Suburban,41,Rural-Fringe,N
511,HUBBARD ISD,19913,H,Rural,42,Rural-Distant,N
512,HUBBARD ISD,109905,H,Rural,42,Rural-Distant,N
513,HUCKABAY ISD,72908,H,Rural,42,Rural-Distant,N
514,HUDSON ISD,3902,G,Non-metropolitan Stable,33,Town-Remote,N
515,HUFFMAN ISD,101925,G,Non-metropolitan Stable,41,Rural-Fringe,N
516,HUGHES SPRINGS ISD,34903,G,Non-metropolitan Stable,32,Town-Distant,N
517,HULL-DAISETTA ISD,146905,H,Rural,42,Rural-Distant,N
518,HUMBLE ISD,101913,B,Major Suburban,21,Suburb-Large,N
519,HUNT ISD,133902,H,Rural,42,Rural-Distant,N
520,HUNTINGTON ISD,3904,G,Non-metropolitan Stable,42,Rural-Distant,N
521,HUNTSVILLE ISD,236902,E,Independent Town,32,Town-Distant,N
522,HURST-EULESS-BEDFORD ISD,220916,B,Major Suburban,21,Suburb-Large,N
523,HUTTO ISD,246906,D,Other Central City Suburban,21,Suburb-Large,N
524,IDALOU ISD,152910,D,Other Central City Suburban,42,Rural-Distant,N
525,IDEA PUBLIC SCHOOLS,108807,I,Charter School Districts,11,City-Large,Y
526,IMAGINE INTERNATIONAL ACADEMY OF N,43801,I,Charter School Districts,22,Suburb-Midsize,Y
527,INDUSTRIAL ISD,120905,G,Non-metropolitan Stable,42,Rural-Distant,N
528,INGLESIDE ISD,205903,D,Other Central City Suburban,31,Town-Fringe,N
529,INGRAM ISD,133904,G,Non-metropolitan Stable,41,Rural-Fringe,N
530,INSPIRE ACADEMIES,15808,I,Charter School Districts,11,City-Large,Y
531,INSPIRED VISION ACADEMY,57830,I,Charter School Districts,11,City-Large,Y
532,INTERNATIONAL LEADERSHIP OF TEXAS,57848,I,Charter School Districts,21,Suburb-Large,Y
533,IOLA ISD,93903,H,Rural,42,Rural-Distant,N
534,IOWA PARK CISD,243903,D,Other Central City Suburban,31,Town-Fringe,N
535,IRA ISD,208903,H,Rural,42,Rural-Distant,N
536,IRAAN-SHEFFIELD ISD,186903,H,Rural,43,Rural-Remote,N
537,IREDELL ISD,18906,H,Rural,43,Rural-Remote,N
538,IRION COUNTY ISD,118902,H,Rural,42,Rural-Distant,N
539,IRVING ISD,57912,B,Major Suburban,12,City-Midsize,N
540,ITALY ISD,70907,H,Rural,42,Rural-Distant,N
541,ITASCA ISD,109907,H,Rural,42,Rural-Distant,N
542,JACKSBORO ISD,119902,G,Non-metropolitan Stable,33,Town-Remote,N
543,JACKSONVILLE ISD,37904,E,Independent Town,32,Town-Distant,N
544,JARRELL ISD,246907,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
545,JASPER ISD,121904,E,Independent Town,33,Town-Remote,N
546,JAYTON-GIRARD ISD,132902,H,Rural,43,Rural-Remote,N
547,JEAN MASSIEU ACADEMY,57819,I,Charter School Districts,11,City-Large,Y
548,JEFFERSON ISD,155901,G,Non-metropolitan Stable,42,Rural-Distant,N
549,JIM HOGG COUNTY ISD,124901,G,Non-metropolitan Stable,33,Town-Remote,N
550,JIM NED CISD,221911,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
551,JOAQUIN ISD,210902,H,Rural,43,Rural-Remote,N
552,JOHNSON CITY ISD,16901,H,Rural,42,Rural-Distant,N
553,JONESBORO ISD,50909,F,Non-metropolitan Fast Growing,43,Rural-Remote,N
554,JOSHUA ISD,126905,D,Other Central City Suburban,41,Rural-Fringe,N
555,JOURDANTON ISD,7902,G,Non-metropolitan Stable,32,Town-Distant,N
556,JUBILEE ACADEMIES,15822,I,Charter School Districts,11,City-Large,Y
557,JUDSON ISD,15916,B,Major Suburban,21,Suburb-Large,N
558,JUNCTION ISD,134901,H,Rural,33,Town-Remote,N
559,KARNACK ISD,102901,H,Rural,42,Rural-Distant,N
560,KARNES CITY ISD,128901,F,Non-metropolitan Fast Growing,33,Town-Remote,N
561,KATHERINE ANNE PORTER SCHOOL,105801,I,Charter School Districts,32,Town-Distant,Y
562,KATY ISD,101914,B,Major Suburban,21,Suburb-Large,N
563,KAUFMAN ISD,129903,D,Other Central City Suburban,32,Town-Distant,N
564,KEENE ISD,126906,G,Non-metropolitan Stable,31,Town-Fringe,N
565,KELLER ISD,220907,B,Major Suburban,11,City-Large,N
566,KELTON ISD,242905,H,Rural,43,Rural-Remote,N
567,KEMP ISD,129904,G,Non-metropolitan Stable,42,Rural-Distant,N
568,KENEDY COUNTY WIDE CSD,131001,H,Rural,43,Rural-Remote,N
569,KENEDY ISD,128902,H,Rural,41,Rural-Fringe,N
570,KENNARD ISD,113906,H,Rural,43,Rural-Remote,N
571,KENNEDALE ISD,220914,B,Major Suburban,21,Suburb-Large,N
572,KERENS ISD,175907,H,Rural,43,Rural-Remote,N
573,KERMIT ISD,248901,D,Other Central City Suburban,32,Town-Distant,N
574,KERRVILLE ISD,133903,E,Independent Town,33,Town-Remote,N
575,KI CHARTER ACADEMY,105803,I,Charter School Districts,13,City-Small,Y
576,KILGORE ISD,92902,D,Other Central City Suburban,31,Town-Fringe,N
577,KILLEEN ISD,14906,C,Other Central City,12,City-Midsize,N
578,KINGSVILLE ISD,137901,E,Independent Town,32,Town-Distant,N
579,KIPP TEXAS PUBLIC SCHOOLS,227820,I,Charter School Districts,11,City-Large,Y
580,KIRBYVILLE CISD,121905,G,Non-metropolitan Stable,43,Rural-Remote,N
581,KLEIN ISD,101915,B,Major Suburban,21,Suburb-Large,N
582,KLONDIKE ISD,58905,H,Rural,43,Rural-Remote,N
583,KNIPPA ISD,232901,H,Rural,42,Rural-Distant,N
584,KNOX CITY-O'BRIEN CISD,138902,H,Rural,43,Rural-Remote,N
585,KOPPERL ISD,18907,H,Rural,43,Rural-Remote,N
586,KOUNTZE ISD,100903,G,Non-metropolitan Stable,42,Rural-Distant,N
587,KRESS ISD,219905,H,Rural,42,Rural-Distant,N
588,KRUM ISD,61905,G,Non-metropolitan Stable,31,Town-Fringe,N
589,LA ACADEMIA DE ESTRELLAS,57839,I,Charter School Districts,11,City-Large,Y
590,LA FE PREPARATORY SCHOOL,71807,I,Charter School Districts,11,City-Large,Y
591,LA FERIA ISD,31905,G,Non-metropolitan Stable,22,Suburb-Midsize,N
592,LA GLORIA ISD,125906,H,Rural,42,Rural-Distant,N
593,LA GRANGE ISD,75902,G,Non-metropolitan Stable,33,Town-Remote,N
594,LA JOYA ISD,108912,C,Other Central City,21,Suburb-Large,N
595,LA PORTE ISD,101916,B,Major Suburban,21,Suburb-Large,N
596,LA PRYOR ISD,254902,H,Rural,43,Rural-Remote,N
597,LA VEGA ISD,161906,D,Other Central City Suburban,22,Suburb-Midsize,N
598,LA VERNIA ISD,247903,E,Independent Town,42,Rural-Distant,N
599,LA VILLA ISD,108914,H,Rural,21,Suburb-Large,N
600,LACKLAND ISD,15913,G,Non-metropolitan Stable,21,Suburb-Large,N
601,LAGO VISTA ISD,227912,G,Non-metropolitan Stable,31,Town-Fringe,N
602,LAKE DALLAS ISD,61912,D,Other Central City Suburban,21,Suburb-Large,N
603,LAKE GRANBURY ACADEMY CHARTER SCHO,111801,I,Charter School Districts,41,Rural-Fringe,Y
604,LAKE TRAVIS ISD,227913,B,Major Suburban,21,Suburb-Large,N
605,LAKE WORTH ISD,220910,B,Major Suburban,11,City-Large,N
606,LAMAR CISD,79901,D,Other Central City Suburban,21,Suburb-Large,N
607,LAMESA ISD,58906,G,Non-metropolitan Stable,33,Town-Remote,N
608,LAMPASAS ISD,141901,D,Other Central City Suburban,41,Rural-Fringe,N
609,LANCASTER ISD,57913,B,Major Suburban,21,Suburb-Large,N
610,LANEVILLE ISD,201903,H,Rural,42,Rural-Distant,N
611,LAPOYNOR ISD,107910,H,Rural,42,Rural-Distant,N
612,LAREDO ISD,240901,D,Other Central City Suburban,11,City-Large,N
613,LASARA ISD,245901,H,Rural,42,Rural-Distant,N
614,LATEXO ISD,113905,H,Rural,42,Rural-Distant,N
615,LAZBUDDIE ISD,185904,H,Rural,43,Rural-Remote,N
616,LEADERSHIP PREP SCHOOL,61804,I,Charter School Districts,21,Suburb-Large,Y
617,LEAKEY ISD,193902,H,Rural,43,Rural-Remote,N
618,LEANDER ISD,246913,B,Major Suburban,21,Suburb-Large,N
619,LEARN4LIFE-AUSTIN,227830,,,11,City-Large,Y
620,LEARY ISD,19914,H,Rural,41,Rural-Fringe,N
621,LEFORS ISD,90902,H,Rural,42,Rural-Distant,N
622,LEGACY PREPARATORY,57846,I,Charter School Districts,21,Suburb-Large,Y
623,LEGACY SCHOOL OF SPORT SCIENCES,101874,I,Charter School Districts,21,Suburb-Large,Y
624,LEGGETT ISD,187906,H,Rural,42,Rural-Distant,N
625,LEON ISD,145911,H,Rural,43,Rural-Remote,N
626,LEONARD ISD,74909,H,Rural,42,Rural-Distant,N
627,LEVELLAND ISD,110902,G,Non-metropolitan Stable,32,Town-Distant,N
628,LEVERETTS CHAPEL ISD,201904,H,Rural,42,Rural-Distant,N
629,LEWISVILLE ISD,61902,C,Other Central City,21,Suburb-Large,N
630,LEXINGTON ISD,144902,G,Non-metropolitan Stable,43,Rural-Remote,N
631,LIBERTY HILL ISD,246908,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N
632,LIBERTY ISD,146906,G,Non-metropolitan Stable,41,Rural-Fringe,N
633,LIBERTY-EYLAU ISD,19908,G,Non-metropolitan Stable,13,City-Small,N
634,LIFE SCHOOL,57807,I,Charter School Districts,21,Suburb-Large,Y
635,LIGHTHOUSE PUBLIC SCHOOLS,15825,I,Charter School Districts,11,City-Large,Y
636,LINDALE ISD,212903,D,Other Central City Suburban,31,Town-Fringe,N
637,LINDEN-KILDARE CISD,34905,H,Rural,43,Rural-Remote,N
638,LINDSAY ISD,49907,H,Rural,42,Rural-Distant,N
639,LINGLEVILLE ISD,72909,H,Rural,42,Rural-Distant,N
640,LIPAN ISD,111902,H,Rural,43,Rural-Remote,N
641,LITTLE CYPRESS-MAURICEVILLE CISD,181908,E,Independent Town,22,Suburb-Midsize,N
642,LITTLE ELM ISD,61914,D,Other Central City Suburban,21,Suburb-Large,N
643,LITTLEFIELD ISD,140904,G,Non-metropolitan Stable,32,Town-Distant,N
644,LIVINGSTON ISD,187907,E,Independent Town,41,Rural-Fringe,N
645,LLANO ISD,150901,G,Non-metropolitan Stable,41,Rural-Fringe,N
646,LOCKHART ISD,28902,E,Independent Town,31,Town-Fringe,N
647,LOCKNEY ISD,77902,H,Rural,43,Rural-Remote,N
648,LOHN ISD,160905,H,Rural,43,Rural-Remote,N
649,LOMETA ISD,141902,H,Rural,43,Rural-Remote,N
650,LONDON ISD,178906,D,Other Central City Suburban,41,Rural-Fringe,N
651,LONE OAK ISD,116906,G,Non-metropolitan Stable,42,Rural-Distant,N
652,LONE STAR LANGUAGE ACADEMY,43802,I,Charter School Districts,11,City-Large,Y
653,LONGVIEW ISD,92903,C,Other Central City,13,City-Small,N
654,LOOP ISD,83902,H,Rural,43,Rural-Remote,N
655,LORAINE ISD,168902,H,Rural,42,Rural-Distant,N
656,LORENA ISD,161907,G,Non-metropolitan Stable,41,Rural-Fringe,N
657,LORENZO ISD,54902,H,Rural,42,Rural-Distant,N
658,LOS FRESNOS CISD,31906,D,Other Central City Suburban,22,Suburb-Midsize,N
659,LOUISE ISD,241906,H,Rural,42,Rural-Distant,N
660,LOVEJOY ISD,43919,G,Non-metropolitan Stable,21,Suburb-Large,N
661,LOVELADY ISD,113903,H,Rural,43,Rural-Remote,N
662,LUBBOCK ISD,152901,C,Other Central City,11,City-Large,N
663,LUBBOCK-COOPER ISD,152906,D,Other Central City Suburban,41,Rural-Fringe,N
664,LUEDERS-AVOCA ISD,127905,H,Rural,42,Rural-Distant,N
665,LUFKIN ISD,3903,E,Independent Town,33,Town-Remote,N
666,LULING ISD,28903,G,Non-metropolitan Stable,32,Town-Distant,N
667,LUMBERTON ISD,100907,D,Other Central City Suburban,22,Suburb-Midsize,N
668,LUMIN EDUCATION,57805,I,Charter School Districts,11,City-Large,Y
669,LYFORD CISD,245902,G,Non-metropolitan Stable,32,Town-Distant,N
670,LYTLE ISD,7904,G,Non-metropolitan Stable,41,Rural-Fringe,N
671,MABANK ISD,129905,D,Other Central City Suburban,32,Town-Distant,N
672,MADISONVILLE CISD,154901,G,Non-metropolitan Stable,32,Town-Distant,N
673,MAGNOLIA ISD,170906,D,Other Central City Suburban,41,Rural-Fringe,N
674,MALAKOFF ISD,107906,G,Non-metropolitan Stable,33,Town-Remote,N
675,MALONE ISD,109908,H,Rural,42,Rural-Distant,N
676,MALTA ISD,19910,H,Rural,42,Rural-Distant,N
677,MANARA ACADEMY,57844,I,Charter School Districts,12,City-Midsize,Y
678,MANOR ISD,227907,B,Major Suburban,41,Rural-Fringe,N
679,MANSFIELD ISD,220908,B,Major Suburban,21,Suburb-Large,N
680,MARATHON ISD,22902,H,Rural,43,Rural-Remote,N
681,MARBLE FALLS ISD,27904,E,Independent Town,32,Town-Distant,N
682,MARFA ISD,189901,H,Rural,43,Rural-Remote,N
683,MARION ISD,94904,D,Other Central City Suburban,21,Suburb-Large,N
684,MARLIN ISD,73903,H,Rural,32,Town-Distant,N
685,MARSHALL ISD,102902,G,Non-metropolitan Stable,32,Town-Distant,N
686,MART ISD,161908,H,Rural,42,Rural-Distant,N
687,MARTINS MILL ISD,234905,H,Rural,42,Rural-Distant,N
688,MARTINSVILLE ISD,174909,H,Rural,43,Rural-Remote,N
689,MASON ISD,157901,H,Rural,43,Rural-Remote,N
690,MATAGORDA ISD,158904,H,Rural,43,Rural-Remote,N
691,MATHIS ISD,205904,G,Non-metropolitan Stable,32,Town-Distant,N
692,MAUD ISD,19903,H,Rural,42,Rural-Distant,N
693,MAY ISD,25905,H,Rural,43,Rural-Remote,N
694,MAYPEARL ISD,70915,D,Other Central City Suburban,42,Rural-Distant,N
695,MCALLEN ISD,108906,D,Other Central City Suburban,12,City-Midsize,N
696,MCCAMEY ISD,231901,H,Rural,43,Rural-Remote,N
697,MCDADE ISD,11905,F,Non-metropolitan Fast Growing,42,Rural-Distant,N
698,MCGREGOR ISD,161909,G,Non-metropolitan Stable,31,Town-Fringe,N
699,MCKINNEY ISD,43907,D,Other Central City Suburban,22,Suburb-Midsize,N
700,MCLEAN ISD,90903,H,Rural,43,Rural-Remote,N
701,MCLEOD ISD,34906,H,Rural,42,Rural-Distant,N
702,MCMULLEN COUNTY ISD,162904,H,Rural,43,Rural-Remote,N
703,MEADOW ISD,223902,H,Rural,42,Rural-Distant,N
704,MEADOWLAND CHARTER DISTRICT,130801,I,Charter School Districts,41,Rural-Fringe,Y
705,MEDINA ISD,10901,H,Rural,43,Rural-Remote,N
706,MEDINA VALLEY ISD,163908,B,Major Suburban,41,Rural-Fringe,N
707,MELISSA ISD,43908,F,Non-metropolitan Fast Growing,22,Suburb-Midsize,N
708,MEMPHIS ISD,96904,H,Rural,43,Rural-Remote,N
709,MENARD ISD,164901,H,Rural,43,Rural-Remote,N
710,MERCEDES ISD,108907,G,Non-metropolitan Stable,21,Suburb-Large,N
711,MERIDIAN ISD,18902,H,Rural,43,Rural-Remote,N
712,MERIDIAN WORLD SCHOOL LLC,246801,I,Charter School Districts,12,City-Midsize,Y
713,MERKEL ISD,221904,D,Other Central City Suburban,42,Rural-Distant,N
714,MESQUITE ISD,57914,B,Major Suburban,21,Suburb-Large,N
715,MEXIA ISD,147903,G,Non-metropolitan Stable,33,Town-Remote,N
716,MEYERPARK ELEMENTARY,101855,I,Charter School Districts,11,City-Large,Y
717,MEYERSVILLE ISD,62906,H,Rural,42,Rural-Distant,N
718,MIAMI ISD,197902,H,Rural,43,Rural-Remote,N
719,MIDLAND ACADEMY CHARTER SCHOOL,165802,I,Charter School Districts,12,City-Midsize,Y
720,MIDLAND ISD,165901,C,Other Central City,12,City-Midsize,N
721,MIDLOTHIAN ISD,70908,C,Other Central City,21,Suburb-Large,N
722,MIDWAY ISD,39905,H,Rural,42,Rural-Distant,N
723,MIDWAY ISD,161903,D,Other Central City Suburban,22,Suburb-Midsize,N
724,MILANO ISD,166903,H,Rural,42,Rural-Distant,N
725,MILDRED ISD,175910,H,Rural,42,Rural-Distant,N
726,MILES ISD,200902,H,Rural,42,Rural-Distant,N
727,MILFORD ISD,70909,H,Rural,42,Rural-Distant,N
728,MILLER GROVE ISD,112907,H,Rural,43,Rural-Remote,N
729,MILLSAP ISD,184904,D,Other Central City Suburban,42,Rural-Distant,N
730,MINEOLA ISD,250903,E,Independent Town,32,Town-Distant,N
731,MINERAL WELLS ISD,182903,E,Independent Town,32,Town-Distant,N
732,MISSION CISD,108908,D,Other Central City Suburban,13,City-Small,N
