,DISTRICT_id,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N),COUNTY,REGION,DISTRICT,DISTNAME,CNTYNAME,DFLCHART,DFLALTED,ASVAB_STATUS
224,47902,H,Rural,43,Rural-Remote,N,'047,'14,'047902,DE LEON ISD,COMANCHE,N,N, 
225,47903,H,Rural,43,Rural-Remote,N,'047,'14,'047903,GUSTINE ISD,COMANCHE,N,N, 
226,47905,H,Rural,42,Rural-Distant,N,'047,'14,'047905,SIDNEY ISD,COMANCHE,N,N, 
227,48901,H,Rural,43,Rural-Remote,N,'048,'15,'048901,EDEN CISD,CONCHO,N,N, 
228,48903,H,Rural,43,Rural-Remote,N,'048,'15,'048903,PAINT ROCK ISD,CONCHO,N,N, 
229,49901,E,Independent Town,41,Rural-Fringe,N,'049,'11,'049901,GAINESVILLE ISD,COOKE,N,N, 
230,49902,H,Rural,43,Rural-Remote,N,'049,'11,'049902,MUENSTER ISD,COOKE,N,N, 
231,49903,G,Non-metropolitan Stable,42,Rural-Distant,N,'049,'11,'049903,VALLEY VIEW ISD,COOKE,N,N, 
232,49905,G,Non-metropolitan Stable,42,Rural-Distant,N,'049,'11,'049905,CALLISBURG ISD,COOKE,N,N, 
233,49906,H,Rural,42,Rural-Distant,N,'049,'11,'049906,ERA ISD,COOKE,N,N, 
234,49907,H,Rural,42,Rural-Distant,N,'049,'11,'049907,LINDSAY ISD,COOKE,N,N, 
235,49908,H,Rural,42,Rural-Distant,N,'049,'11,'049908,WALNUT BEND ISD,COOKE,N,N, 
236,49909,H,Rural,43,Rural-Remote,N,'049,'11,'049909,SIVELLS BEND ISD,COOKE,N,N, 
237,50901,H,Rural,43,Rural-Remote,N,'050,'12,'050901,EVANT ISD,CORYELL,N,N, 
238,50902,D,Other Central City Suburban,32,Town-Distant,N,'050,'12,'050902,GATESVILLE ISD,CORYELL,N,N, 
239,50904,H,Rural,42,Rural-Distant,N,'050,'12,'050904,OGLESBY ISD,CORYELL,N,N, 
240,50909,H,Rural,43,Rural-Remote,N,'050,'12,'050909,JONESBORO ISD,CORYELL,N,N, 
241,50910,D,Other Central City Suburban,22,Suburb-Midsize,N,'050,'12,'050910,COPPERAS COVE ISD,CORYELL,N,N, 
242,51901,H,Rural,43,Rural-Remote,N,'051,'17,'051901,PADUCAH ISD,COTTLE,N,N, 
243,52901,D,Other Central City Suburban,32,Town-Distant,N,'052,'15,'052901,CRANE ISD,CRANE,N,N, 
244,53001,H,Rural,33,Town-Remote,N,'053,'15,'053001,CROCKETT COUNTY CONSOLIDATED CSD,CROCKETT,N,N, 
245,54901,H,Rural,43,Rural-Remote,N,'054,'17,'054901,CROSBYTON CISD,CROSBY,N,N, 
246,54902,H,Rural,42,Rural-Distant,N,'054,'17,'054902,LORENZO ISD,CROSBY,N,N, 
247,54903,H,Rural,42,Rural-Distant,N,'054,'17,'054903,RALLS ISD,CROSBY,N,N, 
248,55901,H,Rural,43,Rural-Remote,N,'055,'18,'055901,CULBERSON COUNTY-ALLAMOORE ISD,CULBERSON,N,N, 
249,56901,G,Non-metropolitan Stable,33,Town-Remote,N,'056,'16,'056901,DALHART ISD,DALLAM,N,N, 
250,56902,H,Rural,43,Rural-Remote,N,'056,'16,'056902,TEXLINE ISD,DALLAM,N,N, 
251,57802,I,Charter Schools,11,City-Large,Y,'057,'10,'057802,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,DALLAS,Y,N, 
252,57803,I,Charter Schools,11,City-Large,Y,'057,'10,'057803,UPLIFT EDUCATION,DALLAS,Y,N,ASVAB Test not Offered
253,57804,I,Charter Schools,11,City-Large,Y,'057,'10,'057804,TEXANS CAN ACADEMIES,DALLAS,Y,Y,ASVAB Test not Offered
254,57805,I,Charter Schools,11,City-Large,Y,'057,'10,'057805,LUMIN EDUCATION,DALLAS,Y,N, 
255,57806,I,Charter Schools,21,Suburb-Large,Y,'057,'10,'057806,ADVANTAGE ACADEMY,DALLAS,Y,N, 
256,57807,I,Charter Schools,21,Suburb-Large,Y,'057,'10,'057807,LIFE SCHOOL,DALLAS,Y,N, 
257,57808,I,Charter Schools,21,Suburb-Large,Y,'057,'10,'057808,UNIVERSAL ACADEMY,DALLAS,Y,N, 
258,57809,I,Charter Schools,11,City-Large,Y,'057,'10,'057809,NOVA ACADEMY,DALLAS,Y,N, 
259,57810,I,Charter Schools,11,City-Large,Y,'057,'10,'057810,ACADEMY OF DALLAS,DALLAS,Y,N, 
260,57813,I,Charter Schools,11,City-Large,Y,'057,'10,'057813,TRINITY BASIN PREPARATORY,DALLAS,Y,N, 
261,57814,I,Charter Schools,11,City-Large,Y,'057,'10,'057814,ACADEMY FOR ACADEMIC EXCELLENCE,DALLAS,Y,Y,ASVAB Test not Offered
262,57816,I,Charter Schools,11,City-Large,Y,'057,'10,'057816,A W BROWN LEADERSHIP ACADEMY,DALLAS,Y,N, 
263,57819,I,Charter Schools,11,City-Large,Y,'057,'10,'057819,JEAN MASSIEU ACADEMY,DALLAS,Y,N, 
264,57827,I,Charter Schools,11,City-Large,Y,'057,'10,'057827,NOVA ACADEMY SOUTHEAST,DALLAS,Y,N, 
265,57828,I,Charter Schools,21,Suburb-Large,Y,'057,'10,'057828,WINFREE ACADEMY CHARTER SCHOOLS,DALLAS,Y,Y, 
266,57829,I,Charter Schools,11,City-Large,Y,'057,'10,'057829,A+ ACADEMY,DALLAS,Y,N, 
267,57830,I,Charter Schools,11,City-Large,Y,'057,'10,'057830,INSPIRED VISION ACADEMY,DALLAS,Y,N, 
268,57831,I,Charter Schools,11,City-Large,Y,'057,'10,'057831,GATEWAY CHARTER ACADEMY,DALLAS,Y,N,ASVAB Test not Offered
269,57833,I,Charter Schools,21,Suburb-Large,Y,'057,'10,'057833,EDUCATION CENTER INTERNATIONAL ACADEMY,DALLAS,Y,N, 
270,57834,I,Charter Schools,12,City-Midsize,Y,'057,'10,'057834,EVOLUTION ACADEMY CHARTER SCHOOL,DALLAS,Y,Y, 
271,57835,I,Charter Schools,11,City-Large,Y,'057,'10,'057835,GOLDEN RULE CHARTER SCHOOL,DALLAS,Y,N,ASVAB Test not Offered
272,57836,I,Charter Schools,11,City-Large,Y,'057,'10,'057836,ST ANTHONY SCHOOL,DALLAS,Y,N, 
273,57839,I,Charter Schools,11,City-Large,Y,'057,'10,'057839,LA ACADEMIA DE ESTRELLAS,DALLAS,Y,N, 
274,57840,I,Charter Schools,11,City-Large,Y,'057,'10,'057840,RICHLAND COLLEGIATE HIGH SCHOOL,DALLAS,Y,N,ASVAB Alternative Test Offered
275,57841,I,Charter Schools,11,City-Large,Y,'057,'10,'057841,CITYSCAPE SCHOOLS,DALLAS,Y,N, 
276,57844,I,Charter Schools,11,City-Large,Y,'057,'10,'057844,MANARA ACADEMY,DALLAS,Y,N,ASVAB Test not Offered
277,57845,I,Charter Schools,41,Rural-Fringe,Y,'057,'10,'057845,UME PREPARATORY ACADEMY,DALLAS,Y,N, 
278,57846,I,Charter Schools,21,Suburb-Large,Y,'057,'10,'057846,LEGACY PREPARATORY,DALLAS,Y,N, 
279,57847,I,Charter Schools,21,Suburb-Large,Y,'057,'10,'057847,VILLAGE TECH SCHOOLS,DALLAS,Y,N, 
280,57848,I,Charter Schools,21,Suburb-Large,Y,'057,'10,'057848,INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),DALLAS,Y,N, 
281,57850,I,Charter Schools,41,Rural-Fringe,Y,'057,'10,'057850,PIONEER TECHNOLOGY & ARTS ACADEMY,DALLAS,Y,N,ASVAB Test not Offered
282,57851,I,Charter Schools,21,Suburb-Large,Y,'057,'10,'057851,BRIDGEWAY PREPARATORY ACADEMY,DALLAS,Y,N, 
283,57903,B,Major Suburban,21,Suburb-Large,N,'057,'10,'057903,CARROLLTON-FARMERS BRANCH ISD,DALLAS,N,N, 
284,57904,B,Major Suburban,21,Suburb-Large,N,'057,'10,'057904,CEDAR HILL ISD,DALLAS,N,N, 
285,57905,A,Major Urban,11,City-Large,N,'057,'10,'057905,DALLAS ISD,DALLAS,N,N, 
286,57906,B,Major Suburban,21,Suburb-Large,N,'057,'10,'057906,DESOTO ISD,DALLAS,N,N, 
287,57907,B,Major Suburban,21,Suburb-Large,N,'057,'10,'057907,DUNCANVILLE ISD,DALLAS,N,N, 
288,57909,B,Major Suburban,21,Suburb-Large,N,'057,'10,'057909,GARLAND ISD,DALLAS,N,N, 
289,57910,B,Major Suburban,21,Suburb-Large,N,'057,'10,'057910,GRAND PRAIRIE ISD,DALLAS,N,N, 
290,57911,B,Major Suburban,21,Suburb-Large,N,'057,'10,'057911,HIGHLAND PARK ISD,DALLAS,N,N, 
291,57912,B,Major Suburban,11,City-Large,N,'057,'10,'057912,IRVING ISD,DALLAS,N,N, 
292,57913,B,Major Suburban,21,Suburb-Large,N,'057,'10,'057913,LANCASTER ISD,DALLAS,N,N, 
293,57914,B,Major Suburban,21,Suburb-Large,N,'057,'10,'057914,MESQUITE ISD,DALLAS,N,N, 
294,57916,B,Major Suburban,11,City-Large,N,'057,'10,'057916,RICHARDSON ISD,DALLAS,N,N, 
295,57919,D,Other Central City Suburban,41,Rural-Fringe,N,'057,'10,'057919,SUNNYVALE ISD,DALLAS,N,N, 
296,57922,B,Major Suburban,21,Suburb-Large,N,'057,'10,'057922,COPPELL ISD,DALLAS,N,N, 
297,58902,H,Rural,43,Rural-Remote,N,'058,'17,'058902,DAWSON ISD,DAWSON,N,N, 
298,58905,H,Rural,43,Rural-Remote,N,'058,'17,'058905,KLONDIKE ISD,DAWSON,N,N, 
299,58906,G,Non-metropolitan Stable,33,Town-Remote,N,'058,'17,'058906,LAMESA ISD,DAWSON,N,N, 
300,58909,H,Rural,43,Rural-Remote,N,'058,'17,'058909,SANDS CISD,DAWSON,N,N, 
301,59901,D,Other Central City Suburban,32,Town-Distant,N,'059,'16,'059901,HEREFORD ISD,DEAF SMITH,N,N, 
302,59902,H,Rural,43,Rural-Remote,N,'059,'16,'059902,WALCOTT ISD,DEAF SMITH,N,N, 
303,60902,H,Rural,43,Rural-Remote,N,'060,'08,'060902,COOPER ISD,DELTA,N,N, 
304,60914,H,Rural,43,Rural-Remote,N,'060,'08,'060914,FANNINDEL ISD,DELTA,N,N, 
305,61802,I,Charter Schools,21,Suburb-Large,Y,'061,'11,'061802,NORTH TEXAS COLLEGIATE ACADEMY,DENTON,Y,N, 
306,61804,I,Charter Schools,21,Suburb-Large,Y,'061,'10,'061804,LEADERSHIP PREP SCHOOL,DENTON,Y,N, 
307,61805,I,Charter Schools,21,Suburb-Large,Y,'061,'11,'061805,TRIVIUM ACADEMY,DENTON,Y,N, 
308,61901,D,Other Central City Suburban,12,City-Midsize,N,'061,'11,'061901,DENTON ISD,DENTON,N,N, 
309,61902,C,Other Central City,21,Suburb-Large,N,'061,'11,'061902,LEWISVILLE ISD,DENTON,N,N, 
310,61903,G,Non-metropolitan Stable,31,Town-Fringe,N,'061,'11,'061903,PILOT POINT ISD,DENTON,N,N, 
311,61905,G,Non-metropolitan Stable,31,Town-Fringe,N,'061,'11,'061905,KRUM ISD,DENTON,N,N, 
312,61906,G,Non-metropolitan Stable,42,Rural-Distant,N,'061,'11,'061906,PONDER ISD,DENTON,N,N, 
313,61907,F,Non-metropolitan Fast Growing,41,Rural-Fringe,N,'061,'11,'061907,AUBREY ISD,DENTON,N,N, 
314,61908,G,Non-metropolitan Stable,41,Rural-Fringe,N,'061,'11,'061908,SANGER ISD,DENTON,N,N, 
315,61910,D,Other Central City Suburban,41,Rural-Fringe,N,'061,'11,'061910,ARGYLE ISD,DENTON,N,N, 
316,61911,D,Other Central City Suburban,41,Rural-Fringe,N,'061,'11,'061911,NORTHWEST ISD,DENTON,N,N, 
317,61912,D,Other Central City Suburban,21,Suburb-Large,N,'061,'11,'061912,LAKE DALLAS ISD,DENTON,N,N, 
318,61914,D,Other Central City Suburban,21,Suburb-Large,N,'061,'11,'061914,LITTLE ELM ISD,DENTON,N,N, 
319,62901,G,Non-metropolitan Stable,32,Town-Distant,N,'062,'03,'062901,CUERO ISD,DEWITT,N,N, 
320,62902,H,Rural,43,Rural-Remote,N,'062,'03,'062902,NORDHEIM ISD,DEWITT,N,N, 
321,62903,G,Non-metropolitan Stable,32,Town-Distant,N,'062,'03,'062903,YOAKUM ISD,DEWITT,N,N, 
322,62904,H,Rural,43,Rural-Remote,N,'062,'03,'062904,YORKTOWN ISD,DEWITT,N,N, 
323,62905,H,Rural,43,Rural-Remote,N,'062,'03,'062905,WESTHOFF ISD,DEWITT,N,N, 
324,62906,H,Rural,42,Rural-Distant,N,'062,'03,'062906,MEYERSVILLE ISD,DEWITT,N,N, 
325,63903,H,Rural,43,Rural-Remote,N,'063,'17,'063903,SPUR ISD,DICKENS,N,N, 
326,63906,H,Rural,43,Rural-Remote,N,'063,'17,'063906,PATTON SPRINGS ISD,DICKENS,N,N, 
327,64903,D,Other Central City Suburban,33,Town-Remote,N,'064,'20,'064903,CARRIZO SPRINGS CISD,DIMMIT,N,N, 
328,65901,H,Rural,43,Rural-Remote,N,'065,'16,'065901,CLARENDON ISD,DONLEY,N,N, 
329,65902,H,Rural,43,Rural-Remote,N,'065,'16,'065902,HEDLEY ISD,DONLEY,N,N, 
330,66005,H,Rural,43,Rural-Remote,N,'066,'02,'066005,RAMIREZ CSD,DUVAL,N,N, 
331,66901,H,Rural,43,Rural-Remote,N,'066,'02,'066901,BENAVIDES ISD,DUVAL,N,N, 
332,66902,G,Non-metropolitan Stable,32,Town-Distant,N,'066,'02,'066902,SAN DIEGO ISD,DUVAL,N,N, 
333,66903,H,Rural,43,Rural-Remote,N,'066,'02,'066903,FREER ISD,DUVAL,N,N, 
334,67902,H,Rural,33,Town-Remote,N,'067,'14,'067902,CISCO ISD,EASTLAND,N,N, 
335,67903,G,Non-metropolitan Stable,33,Town-Remote,N,'067,'14,'067903,EASTLAND ISD,EASTLAND,N,N, 
336,67904,H,Rural,43,Rural-Remote,N,'067,'14,'067904,GORMAN ISD,EASTLAND,N,N, 
337,67907,H,Rural,43,Rural-Remote,N,'067,'14,'067907,RANGER ISD,EASTLAND,N,N, 
338,67908,H,Rural,43,Rural-Remote,N,'067,'14,'067908,RISING STAR ISD,EASTLAND,N,N, 
339,68802,I,Charter Schools,12,City-Midsize,Y,'068,'18,'068802,COMPASS ACADEMY CHARTER SCHOOL,ECTOR,Y,N, 
340,68901,C,Other Central City,12,City-Midsize,N,'068,'18,'068901,ECTOR COUNTY ISD,ECTOR,N,N, 
341,69901,H,Rural,43,Rural-Remote,N,'069,'15,'069901,ROCKSPRINGS ISD,EDWARDS,N,N, 
342,69902,H,Rural,43,Rural-Remote,N,'069,'15,'069902,NUECES CANYON CISD,EDWARDS,N,N, 
343,70801,I,Charter Schools,11,City-Large,Y,'070,'10,'070801,WAXAHACHIE FAITH FAMILY ACADEMY,ELLIS,Y,N, 
344,70901,H,Rural,42,Rural-Distant,N,'070,'10,'070901,AVALON ISD,ELLIS,N,N, 
345,70903,D,Other Central City Suburban,41,Rural-Fringe,N,'070,'10,'070903,ENNIS ISD,ELLIS,N,N, 
346,70905,D,Other Central City Suburban,41,Rural-Fringe,N,'070,'10,'070905,FERRIS ISD,ELLIS,N,N, 
347,70907,H,Rural,42,Rural-Distant,N,'070,'10,'070907,ITALY ISD,ELLIS,N,N, 
348,70908,C,Other Central City,21,Suburb-Large,N,'070,'10,'070908,MIDLOTHIAN ISD,ELLIS,N,N, 
349,70909,H,Rural,42,Rural-Distant,N,'070,'10,'070909,MILFORD ISD,ELLIS,N,N, 
350,70910,D,Other Central City Suburban,41,Rural-Fringe,N,'070,'10,'070910,PALMER ISD,ELLIS,N,N, 
351,70911,D,Other Central City Suburban,21,Suburb-Large,N,'070,'10,'070911,RED OAK ISD,ELLIS,N,N, 
352,70912,C,Other Central City,21,Suburb-Large,N,'070,'10,'070912,WAXAHACHIE ISD,ELLIS,N,N, 
353,70915,D,Other Central City Suburban,42,Rural-Distant,N,'070,'10,'070915,MAYPEARL ISD,ELLIS,N,N, 
354,71801,I,Charter Schools,11,City-Large,Y,'071,'19,'071801,BURNHAM WOOD CHARTER SCHOOL DISTRICT,EL PASO,Y,N, 
355,71803,I,Charter Schools,11,City-Large,Y,'071,'19,'071803,TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,EL PASO,Y,Y, 
356,71804,I,Charter Schools,11,City-Large,Y,'071,'19,'071804,EL PASO ACADEMY,EL PASO,Y,Y, 
357,71806,I,Charter Schools,11,City-Large,Y,'071,'19,'071806,HARMONY PUBLIC SCHOOLS - WEST TEXAS,EL PASO,Y,N, 
358,71807,I,Charter Schools,11,City-Large,Y,'071,'19,'071807,LA FE PREPARATORY SCHOOL,EL PASO,Y,N, 
359,71809,I,Charter Schools,11,City-Large,Y,'071,'19,'071809,VISTA DEL FUTURO CHARTER SCHOOL,EL PASO,Y,N, 
360,71810,I,Charter Schools,11,City-Large,Y,'071,'19,'071810,EL PASO LEADERSHIP ACADEMY,EL PASO,Y,N,ASVAB Test not Offered
361,71901,B,Major Suburban,21,Suburb-Large,N,'071,'19,'071901,CLINT ISD,EL PASO,N,N, 
362,71902,A,Major Urban,11,City-Large,N,'071,'19,'071902,EL PASO ISD,EL PASO,N,N, 
363,71903,G,Non-metropolitan Stable,31,Town-Fringe,N,'071,'19,'071903,FABENS ISD,EL PASO,N,N, 
364,71904,B,Major Suburban,21,Suburb-Large,N,'071,'19,'071904,SAN ELIZARIO ISD,EL PASO,N,N, 
365,71905,A,Major Urban,11,City-Large,N,'071,'19,'071905,YSLETA ISD,EL PASO,N,N, 
366,71906,H,Rural,21,Suburb-Large,N,'071,'19,'071906,ANTHONY ISD,EL PASO,N,N, 
367,71907,B,Major Suburban,11,City-Large,N,'071,'19,'071907,CANUTILLO ISD,EL PASO,N,N, 
368,71908,H,Rural,41,Rural-Fringe,N,'071,'19,'071908,TORNILLO ISD,EL PASO,N,N, 
369,71909,A,Major Urban,11,City-Large,N,'071,'19,'071909,SOCORRO ISD,EL PASO,N,N, 
370,72801,I,Charter Schools,11,City-Large,Y,'072,'11,'072801,PREMIER HIGH SCHOOLS,ERATH,Y,Y,ASVAB Alternative Test Offered
371,72802,I,Charter Schools,31,Town-Fringe,Y,'072,'11,'072802,ERATH EXCELS ACADEMY INC,ERATH,Y,Y, 
372,72901,H,Rural,42,Rural-Distant,N,'072,'11,'072901,THREE WAY ISD,ERATH,N,N, 
373,72902,G,Non-metropolitan Stable,41,Rural-Fringe,N,'072,'11,'072902,DUBLIN ISD,ERATH,N,N, 
374,72903,E,Independent Town,33,Town-Remote,N,'072,'11,'072903,STEPHENVILLE ISD,ERATH,N,N, 
375,72904,H,Rural,43,Rural-Remote,N,'072,'11,'072904,BLUFF DALE ISD,ERATH,N,N, 
376,72908,F,Non-metropolitan Fast Growing,42,Rural-Distant,N,'072,'11,'072908,HUCKABAY ISD,ERATH,N,N, 
377,72909,H,Rural,42,Rural-Distant,N,'072,'11,'072909,LINGLEVILLE ISD,ERATH,N,N, 
378,72910,H,Rural,43,Rural-Remote,N,'072,'11,'072910,MORGAN MILL ISD,ERATH,N,N, 
379,73901,H,Rural,42,Rural-Distant,N,'073,'12,'073901,CHILTON ISD,FALLS,N,N, 
380,73903,G,Non-metropolitan Stable,32,Town-Distant,N,'073,'12,'073903,MARLIN ISD,FALLS,N,N, 
381,73904,H,Rural,42,Rural-Distant,N,'073,'12,'073904,WESTPHALIA ISD,FALLS,N,N, 
382,73905,H,Rural,42,Rural-Distant,N,'073,'12,'073905,ROSEBUD-LOTT ISD,FALLS,N,N, 
383,74903,E,Independent Town,32,Town-Distant,N,'074,'10,'074903,BONHAM ISD,FANNIN,N,N, 
384,74904,H,Rural,42,Rural-Distant,N,'074,'10,'074904,DODD CITY ISD,FANNIN,N,N, 
385,74905,H,Rural,41,Rural-Fringe,N,'074,'10,'074905,ECTOR ISD,FANNIN,N,N, 
386,74907,H,Rural,43,Rural-Remote,N,'074,'08,'074907,HONEY GROVE ISD,FANNIN,N,N, 
387,74909,H,Rural,42,Rural-Distant,N,'074,'10,'074909,LEONARD ISD,FANNIN,N,N, 
388,74911,H,Rural,42,Rural-Distant,N,'074,'10,'074911,SAVOY ISD,FANNIN,N,N, 
389,74912,F,Non-metropolitan Fast Growing,42,Rural-Distant,N,'074,'10,'074912,TRENTON ISD,FANNIN,N,N, 
390,74917,H,Rural,42,Rural-Distant,N,'074,'10,'074917,SAM RAYBURN ISD,FANNIN,N,N, 
391,75901,H,Rural,43,Rural-Remote,N,'075,'13,'075901,FLATONIA ISD,FAYETTE,N,N, 
392,75902,E,Independent Town,33,Town-Remote,N,'075,'13,'075902,LA GRANGE ISD,FAYETTE,N,N, 
393,75903,H,Rural,33,Town-Remote,N,'075,'13,'075903,SCHULENBURG ISD,FAYETTE,N,N, 
394,75906,H,Rural,43,Rural-Remote,N,'075,'13,'075906,FAYETTEVILLE ISD,FAYETTE,N,N, 
395,75908,H,Rural,43,Rural-Remote,N,'075,'13,'075908,ROUND TOP-CARMINE ISD,FAYETTE,N,N, 
396,76903,H,Rural,43,Rural-Remote,N,'076,'14,'076903,ROBY CISD,FISHER,N,N, 
397,76904,H,Rural,43,Rural-Remote,N,'076,'14,'076904,ROTAN ISD,FISHER,N,N, 
398,77901,H,Rural,32,Town-Distant,N,'077,'17,'077901,FLOYDADA COLLEGIATE ISD,FLOYD,N,N, 
399,77902,H,Rural,43,Rural-Remote,N,'077,'17,'077902,LOCKNEY ISD,FLOYD,N,N, 
400,78901,H,Rural,43,Rural-Remote,N,'078,'09,'078901,CROWELL ISD,FOARD,N,N, 
401,79901,D,Other Central City Suburban,41,Rural-Fringe,N,'079,'04,'079901,LAMAR CISD,FORT BEND,N,N, 
402,79906,G,Non-metropolitan Stable,41,Rural-Fringe,N,'079,'04,'079906,NEEDVILLE ISD,FORT BEND,N,N, 
403,79907,B,Major Suburban,21,Suburb-Large,N,'079,'04,'079907,FORT BEND ISD,FORT BEND,N,N, 
404,79910,G,Non-metropolitan Stable,21,Suburb-Large,N,'079,'04,'079910,STAFFORD MSD,FORT BEND,N,N, 
405,80901,G,Non-metropolitan Stable,33,Town-Remote,N,'080,'08,'080901,MOUNT VERNON ISD,FRANKLIN,N,N, 
406,81902,G,Non-metropolitan Stable,33,Town-Remote,N,'081,'12,'081902,FAIRFIELD ISD,FREESTONE,N,N, 
407,81904,G,Non-metropolitan Stable,33,Town-Remote,N,'081,'12,'081904,TEAGUE ISD,FREESTONE,N,N, 
408,81905,H,Rural,42,Rural-Distant,N,'081,'12,'081905,WORTHAM ISD,FREESTONE,N,N, 
409,81906,H,Rural,42,Rural-Distant,N,'081,'12,'081906,DEW ISD,FREESTONE,N,N, 
410,82902,G,Non-metropolitan Stable,33,Town-Remote,N,'082,'20,'082902,DILLEY ISD,FRIO,N,N, 
411,82903,G,Non-metropolitan Stable,33,Town-Remote,N,'082,'20,'082903,PEARSALL ISD,FRIO,N,N, 
412,83901,H,Rural,43,Rural-Remote,N,'083,'17,'083901,SEAGRAVES ISD,GAINES,N,N, 
413,83902,H,Rural,43,Rural-Remote,N,'083,'17,'083902,LOOP ISD,GAINES,N,N, 
414,83903,G,Non-metropolitan Stable,33,Town-Remote,N,'083,'17,'083903,SEMINOLE ISD,GAINES,N,N, 
415,84802,I,Charter Schools,31,Town-Fringe,Y,'084,'04,'084802,ODYSSEY ACADEMY INC,GALVESTON,Y,N, 
416,84804,I,Charter Schools,31,Town-Fringe,Y,'084,'04,'084804,AMBASSADORS PREPARATORY ACADEMY,GALVESTON,Y,N, 
417,84901,D,Other Central City Suburban,22,Suburb-Midsize,N,'084,'04,'084901,DICKINSON ISD,GALVESTON,N,N, 
418,84902,D,Other Central City Suburban,31,Town-Fringe,N,'084,'04,'084902,GALVESTON ISD,GALVESTON,N,N, 
419,84903,H,Rural,43,Rural-Remote,N,'084,'05,'084903,HIGH ISLAND ISD,GALVESTON,N,N, 
420,84906,D,Other Central City Suburban,22,Suburb-Midsize,N,'084,'04,'084906,TEXAS CITY ISD,GALVESTON,N,N, 
421,84908,G,Non-metropolitan Stable,22,Suburb-Midsize,N,'084,'04,'084908,HITCHCOCK ISD,GALVESTON,N,N, 
422,84909,D,Other Central City Suburban,22,Suburb-Midsize,N,'084,'04,'084909,SANTA FE ISD,GALVESTON,N,N, 
423,84910,C,Other Central City,21,Suburb-Large,N,'084,'04,'084910,CLEAR CREEK ISD,GALVESTON,N,N, 
424,84911,D,Other Central City Suburban,21,Suburb-Large,N,'084,'04,'084911,FRIENDSWOOD ISD,GALVESTON,N,N, 
425,85902,H,Rural,32,Town-Distant,N,'085,'17,'085902,POST ISD,GARZA,N,N, 
426,85903,H,Rural,42,Rural-Distant,N,'085,'17,'085903,SOUTHLAND ISD,GARZA,N,N, 
427,86024,H,Rural,43,Rural-Remote,N,'086,'13,'086024,DOSS CONSOLIDATED CSD,GILLESPIE,N,N, 
428,86901,E,Independent Town,33,Town-Remote,N,'086,'13,'086901,FREDERICKSBURG ISD,GILLESPIE,N,N, 
429,86902,H,Rural,43,Rural-Remote,N,'086,'15,'086902,HARPER ISD,GILLESPIE,N,N, 
430,87901,H,Rural,43,Rural-Remote,N,'087,'18,'087901,GLASSCOCK COUNTY ISD,GLASSCOCK,N,N, 
431,88902,G,Non-metropolitan Stable,42,Rural-Distant,N,'088,'03,'088902,GOLIAD ISD,GOLIAD,N,N, 
432,89901,G,Non-metropolitan Stable,32,Town-Distant,N,'089,'13,'089901,GONZALES ISD,GONZALES,N,N, 
433,89903,G,Non-metropolitan Stable,43,Rural-Remote,N,'089,'13,'089903,NIXON-SMILEY CISD,GONZALES,N,N, 
434,89905,H,Rural,43,Rural-Remote,N,'089,'13,'089905,WAELDER ISD,GONZALES,N,N, 
435,90902,H,Rural,42,Rural-Distant,N,'090,'16,'090902,LEFORS ISD,GRAY,N,N, 
436,90903,H,Rural,43,Rural-Remote,N,'090,'16,'090903,MCLEAN ISD,GRAY,N,N, 
437,90904,G,Non-metropolitan Stable,33,Town-Remote,N,'090,'16,'090904,PAMPA ISD,GRAY,N,N, 
438,90905,H,Rural,43,Rural-Remote,N,'090,'16,'090905,GRANDVIEW-HOPKINS ISD,GRAY,N,N, 
439,91901,D,Other Central City Suburban,42,Rural-Distant,N,'091,'10,'091901,BELLS ISD,GRAYSON,N,N, 
440,91902,H,Rural,42,Rural-Distant,N,'091,'10,'091902,COLLINSVILLE ISD,GRAYSON,N,N, 
441,91903,D,Other Central City Suburban,13,City-Small,N,'091,'10,'091903,DENISON ISD,GRAYSON,N,N, 
442,91905,D,Other Central City Suburban,41,Rural-Fringe,N,'091,'10,'091905,HOWE ISD,GRAYSON,N,N, 
443,91906,C,Other Central City,13,City-Small,N,'091,'10,'091906,SHERMAN ISD,GRAYSON,N,N, 
444,91907,H,Rural,42,Rural-Distant,N,'091,'10,'091907,TIOGA ISD,GRAYSON,N,N, 
445,91908,D,Other Central City Suburban,41,Rural-Fringe,N,'091,'10,'091908,VAN ALSTYNE ISD,GRAYSON,N,N, 
446,91909,D,Other Central City Suburban,32,Town-Distant,N,'091,'10,'091909,WHITESBORO ISD,GRAYSON,N,N, 
447,91910,H,Rural,42,Rural-Distant,N,'091,'10,'091910,WHITEWRIGHT ISD,GRAYSON,N,N, 
448,91913,D,Other Central City Suburban,23,Suburb-Small,N,'091,'10,'091913,POTTSBORO ISD,GRAYSON,N,N,ASVAB Alternative Test Offered
449,91914,D,Other Central City Suburban,41,Rural-Fringe,N,'091,'10,'091914,S AND S CISD,GRAYSON,N,N, 
450,91917,D,Other Central City Suburban,42,Rural-Distant,N,'091,'10,'091917,GUNTER ISD,GRAYSON,N,N, 
