,District,District Number,TEA District Type,TEA Description,NCES District Type,NCES Description,Charter School (Y/N),2018-19 District Enrollment,Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on TEA Definition (Yes/No),"Campuses would Qualify as Rural for Teacher Incentive Allotment Purposes Based on NCES Definition and Enrollment <5,000 (Yes/No)"
284,DELL CITY ISD,115903,H,Rural,43.0,Rural-Remote,N,72,Yes,Yes
285,DENISON ISD,91903,D,Other Central City Suburban,13.0,City-Small,N,4724,No,No
286,DENTON ISD,61901,C,Other Central City,12.0,City-Midsize,N,30169,No,No
287,DENVER CITY ISD,251901,G,Non-metropolitan Stable,33.0,Town-Remote,N,1703,No,No
288,DESOTO ISD,57906,B,Major Suburban,21.0,Suburb-Large,N,9404,No,No
289,DETROIT ISD,194905,H,Rural,43.0,Rural-Remote,N,542,Yes,Yes
290,DEVERS ISD,146903,H,Rural,42.0,Rural-Distant,N,176,Yes,Yes
291,DEVINE ISD,163901,E,Independent Town,41.0,Rural-Fringe,N,1985,No,Yes
292,DEW ISD,81906,H,Rural,42.0,Rural-Distant,N,155,Yes,Yes
293,DEWEYVILLE ISD,176903,H,Rural,42.0,Rural-Distant,N,579,Yes,Yes
294,DIBOLL ISD,3905,G,Non-metropolitan Stable,33.0,Town-Remote,N,1880,No,No
295,DICKINSON ISD,84901,C,Other Central City,22.0,Suburb-Midsize,N,11162,No,No
296,DILLEY ISD,82902,G,Non-metropolitan Stable,33.0,Town-Remote,N,995,No,No
297,DIME BOX ISD,144903,H,Rural,43.0,Rural-Remote,N,153,Yes,Yes
298,DIMMITT ISD,35901,D,Other Central City Suburban,33.0,Town-Remote,N,1231,No,No
299,DIVIDE ISD,133905,H,Rural,43.0,Rural-Remote,N,21,Yes,Yes
300,DODD CITY ISD,74904,H,Rural,42.0,Rural-Distant,N,384,Yes,Yes
301,DONNA ISD,108902,D,Other Central City Suburban,21.0,Suburb-Large,N,14459,No,No
302,DOSS CONSOLIDATED CSD,86024,H,Rural,43.0,Rural-Remote,N,20,Yes,Yes
303,DOUGLASS ISD,174911,F,Non-metropolitan Fast Growing,43.0,Rural-Remote,N,466,No,Yes
304,DR M L GARZA-GONZALEZ CHARTER SCHO,178801,I,Charter School Districts,11.0,City-Large,Y,210,No,No
305,DRAW ACADEMY,101856,I,Charter School Districts,11.0,City-Large,Y,649,No,No
306,DRIPPING SPRINGS ISD,105904,B,Major Suburban,42.0,Rural-Distant,N,6873,No,No
307,DRISCOLL ISD,178905,H,Rural,42.0,Rural-Distant,N,306,Yes,Yes
308,DUBLIN ISD,72902,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1209,No,Yes
309,DUMAS ISD,171901,G,Non-metropolitan Stable,33.0,Town-Remote,N,4300,No,No
310,DUNCANVILLE ISD,57907,B,Major Suburban,21.0,Suburb-Large,N,12700,No,No
311,EAGLE MT-SAGINAW ISD,220918,B,Major Suburban,11.0,City-Large,N,20054,No,No
312,EAGLE PASS ISD,159901,D,Other Central City Suburban,33.0,Town-Remote,N,14561,No,No
313,EANES ISD,227909,B,Major Suburban,21.0,Suburb-Large,N,8132,No,No
314,EARLY ISD,25909,G,Non-metropolitan Stable,33.0,Town-Remote,N,1192,No,No
315,EAST BERNARD ISD,241902,D,Other Central City Suburban,42.0,Rural-Distant,N,951,No,Yes
316,EAST CENTRAL ISD,15911,B,Major Suburban,41.0,Rural-Fringe,N,10041,No,No
317,EAST CHAMBERS ISD,36903,E,Independent Town,32.0,Town-Distant,N,1511,No,No
318,EAST FORT WORTH MONTESSORI ACADEMY,220811,I,Charter School Districts,11.0,City-Large,Y,302,No,No
319,EAST TEXAS CHARTER SCHOOLS,92801,I,Charter School Districts,13.0,City-Small,Y,142,No,No
320,EASTLAND ISD,67903,G,Non-metropolitan Stable,33.0,Town-Remote,N,1134,No,No
321,ECTOR COUNTY ISD,68901,C,Other Central City,12.0,City-Midsize,N,33268,No,No
322,ECTOR ISD,74905,H,Rural,41.0,Rural-Fringe,N,260,Yes,Yes
323,EDCOUCH-ELSA ISD,108903,D,Other Central City Suburban,21.0,Suburb-Large,N,4935,No,No
324,EDEN CISD,48901,H,Rural,43.0,Rural-Remote,N,218,Yes,Yes
325,EDGEWOOD ISD,15905,B,Major Suburban,11.0,City-Large,N,10234,No,No
326,EDGEWOOD ISD,234903,G,Non-metropolitan Stable,42.0,Rural-Distant,N,993,No,Yes
327,EDINBURG CISD,108904,C,Other Central City,13.0,City-Small,N,34121,No,No
328,EDNA ISD,120901,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1567,No,Yes
329,EDUCATION CENTER INTERNATIONAL ACA,57833,I,Charter School Districts,21.0,Suburb-Large,Y,595,No,No
330,EHRHART SCHOOL,123805,I,Charter School Districts,12.0,City-Midsize,Y,430,No,No
331,EL CAMPO ISD,241903,E,Independent Town,32.0,Town-Distant,N,3682,No,No
332,EL PASO ACADEMY,71804,I,Charter School Districts,11.0,City-Large,Y,364,No,No
333,EL PASO ISD,71902,A,Major Urban,11.0,City-Large,N,57315,No,No
334,EL PASO LEADERSHIP ACADEMY,71810,I,Charter School Districts,11.0,City-Large,Y,207,No,No
335,ELEANOR KOLITZ HEBREW LANGUAGE ACA,15836,I,Charter School Districts,11.0,City-Large,Y,337,No,No
336,ELECTRA ISD,243902,H,Rural,32.0,Town-Distant,N,420,Yes,No
337,ELGIN ISD,11902,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,4457,No,Yes
338,ELKHART ISD,1903,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1255,No,Yes
339,ELYSIAN FIELDS ISD,102906,H,Rural,42.0,Rural-Distant,N,916,Yes,Yes
340,ENNIS ISD,70903,D,Other Central City Suburban,41.0,Rural-Fringe,N,5850,No,No
341,ERA ISD,49906,H,Rural,42.0,Rural-Distant,N,485,Yes,Yes
342,ERATH EXCELS ACADEMY INC,72802,I,Charter School Districts,41.0,Rural-Fringe,Y,123,No,Yes
343,ETOILE ACADEMY CHARTER SCHOOL,101872,,,,,Y,65,No,No
344,ETOILE ISD,174910,H,Rural,43.0,Rural-Remote,N,131,Yes,Yes
345,EULA ISD,30906,H,Rural,42.0,Rural-Distant,N,441,Yes,Yes
346,EUSTACE ISD,107905,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1566,No,Yes
347,EVADALE ISD,121906,H,Rural,42.0,Rural-Distant,N,447,Yes,Yes
348,EVANT ISD,50901,H,Rural,43.0,Rural-Remote,N,234,Yes,Yes
349,EVERMAN ISD,220904,B,Major Suburban,21.0,Suburb-Large,N,6174,No,No
350,EVOLUTION ACADEMY CHARTER SCHOOL,57834,I,Charter School Districts,12.0,City-Midsize,Y,832,No,No
351,EXCEL ACADEMY,101811,I,Charter School Districts,11.0,City-Large,Y,444,No,No
352,EXCELLENCE IN LEADERSHIP ACADEMY,108809,I,Charter School Districts,13.0,City-Small,Y,242,No,No
353,EXCELSIOR ISD,210906,H,Rural,43.0,Rural-Remote,N,89,Yes,Yes
354,EZZELL ISD,143906,H,Rural,43.0,Rural-Remote,N,92,Yes,Yes
355,FABENS ISD,71903,G,Non-metropolitan Stable,31.0,Town-Fringe,N,2239,No,No
356,FAIRFIELD ISD,81902,G,Non-metropolitan Stable,33.0,Town-Remote,N,1814,No,No
357,FALLS CITY ISD,128904,H,Rural,42.0,Rural-Distant,N,363,Yes,Yes
358,FANNINDEL ISD,60914,H,Rural,43.0,Rural-Remote,N,168,Yes,Yes
359,FARMERSVILLE ISD,43904,G,Non-metropolitan Stable,31.0,Town-Fringe,N,1717,No,No
360,FARWELL ISD,185902,H,Rural,42.0,Rural-Distant,N,552,Yes,Yes
361,FAYETTEVILLE ISD,75906,H,Rural,43.0,Rural-Remote,N,251,Yes,Yes
362,FERRIS ISD,70905,B,Major Suburban,41.0,Rural-Fringe,N,2709,No,Yes
363,FLATONIA ISD,75901,H,Rural,43.0,Rural-Remote,N,603,Yes,Yes
364,FLORENCE ISD,246902,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1086,No,Yes
365,FLORESVILLE ISD,247901,E,Independent Town,32.0,Town-Distant,N,4057,No,No
366,FLOUR BLUFF ISD,178914,D,Other Central City Suburban,11.0,City-Large,N,5693,No,No
367,FLOYDADA ISD,77901,H,Rural,41.0,Rural-Fringe,N,738,Yes,Yes
368,FOLLETT ISD,148902,H,Rural,43.0,Rural-Remote,N,133,Yes,Yes
369,FORESTBURG ISD,169910,H,Rural,43.0,Rural-Remote,N,173,Yes,Yes
370,FORNEY ISD,129902,B,Major Suburban,41.0,Rural-Fringe,N,11133,No,No
371,FORSAN ISD,114904,H,Rural,42.0,Rural-Distant,N,771,Yes,Yes
372,FORT BEND ISD,79907,B,Major Suburban,21.0,Suburb-Large,N,76122,No,No
373,FORT ELLIOTT CISD,242906,H,Rural,43.0,Rural-Remote,N,136,Yes,Yes
374,FORT STOCKTON ISD,186902,G,Non-metropolitan Stable,33.0,Town-Remote,N,2469,No,No
375,FORT WORTH ACADEMY OF FINE ARTS,220809,I,Charter School Districts,11.0,City-Large,Y,577,No,No
376,FORT WORTH ISD,220905,A,Major Urban,11.0,City-Large,N,84510,No,No
377,FRANKLIN ISD,198903,D,Other Central City Suburban,42.0,Rural-Distant,N,1249,No,Yes
378,FRANKSTON ISD,1904,H,Rural,42.0,Rural-Distant,N,804,Yes,Yes
379,FREDERICKSBURG ISD,86901,E,Independent Town,33.0,Town-Remote,N,3126,No,No
380,FREER ISD,66903,H,Rural,43.0,Rural-Remote,N,822,Yes,Yes
381,FRENSHIP ISD,152907,D,Other Central City Suburban,12.0,City-Midsize,N,9955,No,No
382,FRIENDSWOOD ISD,84911,G,Non-metropolitan Stable,21.0,Suburb-Large,N,6070,No,No
383,FRIONA ISD,185903,G,Non-metropolitan Stable,33.0,Town-Remote,N,1136,No,No
384,FRISCO ISD,43905,C,Other Central City,21.0,Suburb-Large,N,60182,No,No
385,FROST ISD,175905,H,Rural,42.0,Rural-Distant,N,429,Yes,Yes
386,FRUITVALE ISD,234909,H,Rural,42.0,Rural-Distant,N,425,Yes,Yes
387,FT DAVIS ISD,122901,H,Rural,43.0,Rural-Remote,N,228,Yes,Yes
388,FT HANCOCK ISD,115901,H,Rural,43.0,Rural-Remote,N,397,Yes,Yes
389,FT SAM HOUSTON ISD,15914,G,Non-metropolitan Stable,11.0,City-Large,N,1590,No,No
390,GAINESVILLE ISD,49901,E,Independent Town,41.0,Rural-Fringe,N,3195,No,Yes
391,GALENA PARK ISD,101910,B,Major Suburban,21.0,Suburb-Large,N,22289,No,No
392,GALVESTON ISD,84902,C,Other Central City,31.0,Town-Fringe,N,7019,No,No
393,GANADO ISD,120902,H,Rural,42.0,Rural-Distant,N,774,Yes,Yes
394,GARLAND ISD,57909,B,Major Suburban,21.0,Suburb-Large,N,55987,No,No
395,GARNER ISD,184911,H,Rural,42.0,Rural-Distant,N,201,Yes,Yes
396,GARRISON ISD,174903,H,Rural,43.0,Rural-Remote,N,708,Yes,Yes
397,GARY ISD,183904,H,Rural,42.0,Rural-Distant,N,468,Yes,Yes
398,GATESVILLE ISD,50902,D,Other Central City Suburban,32.0,Town-Distant,N,2744,No,No
399,GATEWAY ACADEMY CHARTER DISTRICT,240801,I,Charter School Districts,11.0,City-Large,Y,305,No,No
400,GATEWAY CHARTER ACADEMY,57831,I,Charter School Districts,11.0,City-Large,Y,758,No,No
401,GAUSE ISD,166902,H,Rural,42.0,Rural-Distant,N,166,Yes,Yes
402,GEORGE GERVIN ACADEMY,15802,I,Charter School Districts,11.0,City-Large,Y,1054,No,No
403,GEORGE I SANCHEZ CHARTER,101804,I,Charter School Districts,11.0,City-Large,Y,972,No,No
404,GEORGE WEST ISD,149901,G,Non-metropolitan Stable,43.0,Rural-Remote,N,1079,No,Yes
405,GEORGETOWN ISD,246904,C,Other Central City,21.0,Suburb-Large,N,11759,No,No
406,GHOLSON ISD,161925,H,Rural,42.0,Rural-Distant,N,250,Yes,Yes
407,GIDDINGS ISD,144901,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1871,No,Yes
408,GILMER ISD,230902,D,Other Central City Suburban,41.0,Rural-Fringe,N,2493,No,Yes
409,GLADEWATER ISD,92901,D,Other Central City Suburban,23.0,Suburb-Small,N,1799,No,No
410,GLASSCOCK COUNTY ISD,87901,H,Rural,43.0,Rural-Remote,N,305,Yes,Yes
411,GLEN ROSE ISD,213901,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1857,No,Yes
412,GODLEY ISD,126911,B,Major Suburban,42.0,Rural-Distant,N,2181,No,Yes
413,GOLD BURG ISD,169906,H,Rural,42.0,Rural-Distant,N,138,Yes,Yes
414,GOLDEN RULE CHARTER SCHOOL,57835,I,Charter School Districts,11.0,City-Large,Y,1532,No,No
415,GOLDTHWAITE ISD,167901,H,Rural,43.0,Rural-Remote,N,559,Yes,Yes
416,GOLIAD ISD,88902,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1330,No,Yes
417,GONZALES ISD,89901,G,Non-metropolitan Stable,32.0,Town-Distant,N,2872,No,No
418,GOODRICH ISD,187903,H,Rural,42.0,Rural-Distant,N,241,Yes,Yes
419,GOODWATER MONTESSORI SCHOOL,246802,I,Charter School Districts,21.0,Suburb-Large,Y,349,No,No
420,GOOSE CREEK CISD,101911,B,Major Suburban,13.0,City-Small,N,23837,No,No
421,GORDON ISD,182901,H,Rural,43.0,Rural-Remote,N,189,Yes,Yes
422,GORMAN ISD,67904,H,Rural,43.0,Rural-Remote,N,304,Yes,Yes
423,GRADY ISD,156905,H,Rural,42.0,Rural-Distant,N,255,Yes,Yes
424,GRAFORD ISD,182902,H,Rural,43.0,Rural-Remote,N,347,Yes,Yes
425,GRAHAM ISD,252901,G,Non-metropolitan Stable,33.0,Town-Remote,N,2376,No,No
426,GRANBURY ISD,111901,D,Other Central City Suburban,32.0,Town-Distant,N,7346,No,No
427,GRAND PRAIRIE ISD,57910,B,Major Suburban,21.0,Suburb-Large,N,29200,No,No
428,GRAND SALINE ISD,234904,G,Non-metropolitan Stable,32.0,Town-Distant,N,1127,No,No
429,GRANDFALLS-ROYALTY ISD,238904,H,Rural,43.0,Rural-Remote,N,182,Yes,Yes
430,GRANDVIEW ISD,126904,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1274,No,Yes
431,GRANDVIEW-HOPKINS ISD,90905,H,Rural,43.0,Rural-Remote,N,50,Yes,Yes
432,GRANGER ISD,246905,H,Rural,42.0,Rural-Distant,N,446,Yes,Yes
433,GRAPE CREEK ISD,226907,D,Other Central City Suburban,41.0,Rural-Fringe,N,1172,No,Yes
434,GRAPELAND ISD,113902,H,Rural,43.0,Rural-Remote,N,573,Yes,Yes
435,GRAPEVINE-COLLEYVILLE ISD,220906,B,Major Suburban,21.0,Suburb-Large,N,13941,No,No
436,GREAT HEARTS TEXAS,15835,I,Charter School Districts,11.0,City-Large,Y,3615,No,No
437,GREENVILLE ISD,116905,E,Independent Town,32.0,Town-Distant,N,5492,No,No
438,GREENWOOD ISD,165902,D,Other Central City Suburban,42.0,Rural-Distant,N,2844,No,Yes
439,GREGORY-PORTLAND ISD,205902,D,Other Central City Suburban,21.0,Suburb-Large,N,4673,No,No
440,GROESBECK ISD,147902,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,1687,No,Yes
441,GROOM ISD,33901,H,Rural,43.0,Rural-Remote,N,163,Yes,Yes
442,GROVETON ISD,228901,H,Rural,43.0,Rural-Remote,N,739,Yes,Yes
443,GRUVER ISD,98901,H,Rural,43.0,Rural-Remote,N,459,Yes,Yes
444,GUNTER ISD,91917,G,Non-metropolitan Stable,42.0,Rural-Distant,N,969,No,Yes
445,GUSTINE ISD,47903,H,Rural,43.0,Rural-Remote,N,148,Yes,Yes
446,GUTHRIE CSD,135001,H,Rural,43.0,Rural-Remote,N,106,Yes,Yes
447,HALE CENTER ISD,95903,H,Rural,42.0,Rural-Distant,N,647,Yes,Yes
448,HALLETTSVILLE ISD,143901,G,Non-metropolitan Stable,43.0,Rural-Remote,N,1131,No,Yes
449,HALLSBURG ISD,161924,H,Rural,42.0,Rural-Distant,N,171,Yes,Yes
450,HALLSVILLE ISD,102904,D,Other Central City Suburban,31.0,Town-Fringe,N,9486,No,No
451,HAMILTON ISD,97902,H,Rural,33.0,Town-Remote,N,832,Yes,No
452,HAMLIN ISD,127903,H,Rural,43.0,Rural-Remote,N,395,Yes,Yes
453,HAMSHIRE-FANNETT ISD,123914,D,Other Central City Suburban,42.0,Rural-Distant,N,1934,No,Yes
454,HAPPY ISD,219901,H,Rural,42.0,Rural-Distant,N,259,Yes,Yes
455,HARDIN ISD,146904,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1430,No,Yes
456,HARDIN-JEFFERSON ISD,100905,D,Other Central City Suburban,42.0,Rural-Distant,N,2341,No,Yes
457,HARLANDALE ISD,15904,B,Major Suburban,11.0,City-Large,N,14086,No,No
458,HARLETON ISD,102905,H,Rural,42.0,Rural-Distant,N,716,Yes,Yes
459,HARLINGEN CISD,31903,D,Other Central City Suburban,13.0,City-Small,N,18620,No,No
460,HARMONY ISD,230905,E,Independent Town,42.0,Rural-Distant,N,1097,No,Yes
461,HARMONY SCHOOL OF EXCELLENCE,101858,I,Charter School Districts,11.0,City-Large,Y,5026,No,No
462,HARMONY SCHOOL OF SCIENCE - HOUSTO,101862,I,Charter School Districts,13.0,City-Small,Y,3782,No,No
463,HARMONY SCIENCE ACAD (EL PASO),71806,I,Charter School Districts,11.0,City-Large,Y,3565,No,No
464,HARMONY SCIENCE ACAD (SAN ANTONIO),15828,I,Charter School Districts,11.0,City-Large,Y,4512,No,No
465,HARMONY SCIENCE ACAD (WACO),161807,I,Charter School Districts,11.0,City-Large,Y,9763,No,No
466,HARMONY SCIENCE ACADEMY,101846,I,Charter School Districts,11.0,City-Large,Y,3312,No,No
467,HARMONY SCIENCE ACADEMY (AUSTIN),227816,I,Charter School Districts,11.0,City-Large,Y,4025,No,No
468,HARPER ISD,86902,H,Rural,43.0,Rural-Remote,N,578,Yes,Yes
469,HARRIS COUNTY DEPT OF ED,101000,,,21.0,Suburb-Large,N,.,No,No
470,HARROLD ISD,244901,H,Rural,42.0,Rural-Distant,N,107,Yes,Yes
471,HART ISD,35902,H,Rural,43.0,Rural-Remote,N,213,Yes,Yes
472,HARTLEY ISD,103902,H,Rural,43.0,Rural-Remote,N,223,Yes,Yes
473,HARTS BLUFF ISD,225907,F,Non-metropolitan Fast Growing,41.0,Rural-Fringe,N,633,No,Yes
474,HASKELL CISD,104901,H,Rural,41.0,Rural-Fringe,N,566,Yes,Yes
475,HAWKINS ISD,250902,H,Rural,42.0,Rural-Distant,N,716,Yes,Yes
476,HAWLEY ISD,127904,H,Rural,42.0,Rural-Distant,N,784,Yes,Yes
477,HAYS CISD,105906,B,Major Suburban,21.0,Suburb-Large,N,19925,No,No
478,HEARNE ISD,198905,H,Rural,32.0,Town-Distant,N,821,Yes,No
479,HEDLEY ISD,65902,H,Rural,43.0,Rural-Remote,N,111,Yes,Yes
480,HEMPHILL ISD,202903,H,Rural,43.0,Rural-Remote,N,897,Yes,Yes
481,HEMPSTEAD ISD,237902,G,Non-metropolitan Stable,32.0,Town-Distant,N,1585,No,No
482,HENDERSON ISD,201902,E,Independent Town,32.0,Town-Distant,N,3417,No,No
483,HENRIETTA ISD,39902,D,Other Central City Suburban,41.0,Rural-Fringe,N,935,No,Yes
484,HENRY FORD ACADEMY ALAMEDA SCHOOL,15833,I,Charter School Districts,11.0,City-Large,Y,127,No,No
485,HEREFORD ISD,59901,D,Other Central City Suburban,32.0,Town-Distant,N,4109,No,No
486,HERITAGE ACADEMY,15815,I,Charter School Districts,33.0,Town-Remote,Y,635,No,No
487,HERMLEIGH ISD,208901,H,Rural,42.0,Rural-Distant,N,244,Yes,Yes
488,HICO ISD,97903,H,Rural,43.0,Rural-Remote,N,605,Yes,Yes
489,HIDALGO ISD,108905,D,Other Central City Suburban,21.0,Suburb-Large,N,3253,No,No
490,HIGGINS ISD,148903,H,Rural,43.0,Rural-Remote,N,104,Yes,Yes
491,HIGH ISLAND ISD,84903,H,Rural,43.0,Rural-Remote,N,142,Yes,Yes
492,HIGH POINT ACADEMY,220819,I,Charter School Districts,21.0,Suburb-Large,Y,1401,No,No
493,HIGHLAND ISD,177905,H,Rural,42.0,Rural-Distant,N,239,Yes,Yes
494,HIGHLAND PARK ISD,57911,B,Major Suburban,21.0,Suburb-Large,N,6840,No,No
495,HIGHLAND PARK ISD,188903,H,Rural,41.0,Rural-Fringe,N,864,Yes,Yes
496,HILLSBORO ISD,109904,E,Independent Town,32.0,Town-Distant,N,2006,No,No
497,HITCHCOCK ISD,84908,D,Other Central City Suburban,22.0,Suburb-Midsize,N,1748,No,No
498,HOLLAND ISD,14905,H,Rural,42.0,Rural-Distant,N,656,Yes,Yes
499,HOLLIDAY ISD,5902,D,Other Central City Suburban,42.0,Rural-Distant,N,1048,No,Yes
500,HONDO ISD,163904,G,Non-metropolitan Stable,32.0,Town-Distant,N,1928,No,No
501,HONEY GROVE ISD,74907,H,Rural,43.0,Rural-Remote,N,646,Yes,Yes
502,HOOKS ISD,19902,G,Non-metropolitan Stable,31.0,Town-Fringe,N,908,No,No
503,HORIZON MONTESSORI PUBLIC SCHOOLS,108802,I,Charter School Districts,12.0,City-Midsize,Y,1324,No,No
504,HOUSTON GATEWAY ACADEMY INC,101828,I,Charter School Districts,11.0,City-Large,Y,2409,No,No
505,HOUSTON HEIGHTS HIGH SCHOOL,101821,I,Charter School Districts,11.0,City-Large,Y,193,No,No
506,HOUSTON ISD,101912,A,Major Urban,11.0,City-Large,N,209772,No,No
507,HOWE ISD,91905,D,Other Central City Suburban,42.0,Rural-Distant,N,1265,No,Yes
508,HUBBARD ISD,19913,H,Rural,42.0,Rural-Distant,N,107,Yes,Yes
509,HUBBARD ISD,109905,H,Rural,42.0,Rural-Distant,N,422,Yes,Yes
510,HUCKABAY ISD,72908,H,Rural,42.0,Rural-Distant,N,236,Yes,Yes
511,HUDSON ISD,3902,G,Non-metropolitan Stable,33.0,Town-Remote,N,2959,No,No
512,HUFFMAN ISD,101925,G,Non-metropolitan Stable,41.0,Rural-Fringe,N,3546,No,Yes
513,HUGHES SPRINGS ISD,34903,E,Independent Town,32.0,Town-Distant,N,1224,No,No
514,HULL-DAISETTA ISD,146905,H,Rural,42.0,Rural-Distant,N,479,Yes,Yes
515,HUMBLE ISD,101913,B,Major Suburban,21.0,Suburb-Large,N,43553,No,No
516,HUNT ISD,133902,H,Rural,42.0,Rural-Distant,N,204,Yes,Yes
517,HUNTINGTON ISD,3904,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1660,No,Yes
518,HUNTSVILLE ISD,236902,E,Independent Town,32.0,Town-Distant,N,8928,No,No
519,HURST-EULESS-BEDFORD ISD,220916,B,Major Suburban,21.0,Suburb-Large,N,23686,No,No
520,HUTTO ISD,246906,D,Other Central City Suburban,21.0,Suburb-Large,N,7592,No,No
521,IDALOU ISD,152910,D,Other Central City Suburban,42.0,Rural-Distant,N,1014,No,Yes
522,IDEA PUBLIC SCHOOLS,108807,I,Charter School Districts,21.0,Suburb-Large,Y,42748,No,No
523,IMAGINE INTERNATIONAL ACADEMY OF N,43801,I,Charter School Districts,22.0,Suburb-Midsize,Y,1406,No,No
524,INDUSTRIAL ISD,120905,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1162,No,Yes
525,INGLESIDE ISD,205903,D,Other Central City Suburban,31.0,Town-Fringe,N,2155,No,No
526,INGRAM ISD,133904,G,Non-metropolitan Stable,33.0,Town-Remote,N,1168,No,No
527,INSPIRE ACADEMIES,15808,I,Charter School Districts,11.0,City-Large,Y,864,No,No
528,INSPIRED VISION ACADEMY,57830,I,Charter School Districts,11.0,City-Large,Y,1353,No,No
529,INTERNATIONAL LEADERSHIP OF TEXAS,57848,I,Charter School Districts,21.0,Suburb-Large,Y,18261,No,No
530,IOLA ISD,93903,H,Rural,42.0,Rural-Distant,N,527,Yes,Yes
531,IOWA PARK CISD,243903,D,Other Central City Suburban,31.0,Town-Fringe,N,1915,No,No
532,IRA ISD,208903,H,Rural,42.0,Rural-Distant,N,267,Yes,Yes
533,IRAAN-SHEFFIELD ISD,186903,H,Rural,43.0,Rural-Remote,N,400,Yes,Yes
534,IREDELL ISD,18906,H,Rural,43.0,Rural-Remote,N,143,Yes,Yes
535,IRION COUNTY ISD,118902,H,Rural,42.0,Rural-Distant,N,266,Yes,Yes
536,IRVING ISD,57912,B,Major Suburban,12.0,City-Midsize,N,33464,No,No
537,ITALY ISD,70907,H,Rural,42.0,Rural-Distant,N,602,Yes,Yes
538,ITASCA ISD,109907,H,Rural,42.0,Rural-Distant,N,691,Yes,Yes
539,JACKSBORO ISD,119902,G,Non-metropolitan Stable,33.0,Town-Remote,N,1057,No,No
540,JACKSONVILLE ISD,37904,E,Independent Town,32.0,Town-Distant,N,4857,No,No
541,JARRELL ISD,246907,D,Other Central City Suburban,42.0,Rural-Distant,N,1896,No,Yes
542,JASPER ISD,121904,E,Independent Town,33.0,Town-Remote,N,2444,No,No
543,JAYTON-GIRARD ISD,132902,H,Rural,43.0,Rural-Remote,N,152,Yes,Yes
544,JEAN MASSIEU ACADEMY,57819,I,Charter School Districts,11.0,City-Large,Y,195,No,No
545,JEFFERSON ISD,155901,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1324,No,Yes
546,JIM HOGG COUNTY ISD,124901,G,Non-metropolitan Stable,33.0,Town-Remote,N,1156,No,No
547,JIM NED CISD,221911,G,Non-metropolitan Stable,42.0,Rural-Distant,N,1254,No,Yes
548,JOAQUIN ISD,210902,H,Rural,43.0,Rural-Remote,N,671,Yes,Yes
549,JOHNSON CITY ISD,16901,H,Rural,42.0,Rural-Distant,N,650,Yes,Yes
550,JONESBORO ISD,50909,E,Independent Town,43.0,Rural-Remote,N,328,No,Yes
551,JOSHUA ISD,126905,D,Other Central City Suburban,41.0,Rural-Fringe,N,5585,No,No
552,JOURDANTON ISD,7902,G,Non-metropolitan Stable,32.0,Town-Distant,N,1607,No,No
553,JUBILEE ACADEMIES,15822,I,Charter School Districts,11.0,City-Large,Y,5957,No,No
554,JUDSON ISD,15916,B,Major Suburban,21.0,Suburb-Large,N,22870,No,No
555,JUNCTION ISD,134901,H,Rural,33.0,Town-Remote,N,605,Yes,No
556,KARNACK ISD,102901,H,Rural,42.0,Rural-Distant,N,126,Yes,Yes
557,KARNES CITY ISD,128901,G,Non-metropolitan Stable,33.0,Town-Remote,N,1125,No,No
558,KATHERINE ANNE PORTER SCHOOL,105801,I,Charter School Districts,32.0,Town-Distant,Y,168,No,No
559,KATY ISD,101914,B,Major Suburban,21.0,Suburb-Large,N,79913,No,No
560,KAUFFMAN LEADERSHIP ACADEMY,126801,I,Charter School Districts,31.0,Town-Fringe,Y,105,No,No
561,KAUFMAN ISD,129903,D,Other Central City Suburban,32.0,Town-Distant,N,4045,No,No
562,KEENE ISD,126906,G,Non-metropolitan Stable,31.0,Town-Fringe,N,1074,No,No
563,KELLER ISD,220907,B,Major Suburban,11.0,City-Large,N,35088,No,No
564,KELTON ISD,242905,H,Rural,43.0,Rural-Remote,N,90,Yes,Yes
565,KEMP ISD,129904,D,Other Central City Suburban,42.0,Rural-Distant,N,1663,No,Yes
566,KENEDY COUNTY WIDE CSD,131001,H,Rural,43.0,Rural-Remote,N,64,Yes,Yes
567,KENEDY ISD,128902,F,Non-metropolitan Fast Growing,41.0,Rural-Fringe,N,735,No,Yes
568,KENNARD ISD,113906,H,Rural,43.0,Rural-Remote,N,256,Yes,Yes
569,KENNEDALE ISD,220914,B,Major Suburban,21.0,Suburb-Large,N,3074,No,No
