distname,district_id,county,dflchart,dflalted,asvab_status,tea description,nces description,charter school (y/n),tea district type,nces district type,region,cntyname,district 2023 staff: teacher student ratio,district 2022-23 total students count,district 2023 staff: all staff total full time equiv count,district 2022-23 african american students percent,district 2022-23 american indian students percent,district 2022-23 asian students percent,district 2022-23 hispanic students percent,district 2022-23 pacific islander students percent,district 2022-23 white students percent,district 2022-23 two or more races students percent,district 2022-23 economically disadvantaged students percent,district 2022-23 title i students percent,district 2022-23 special education students percent,district 2022-23 section 504 students percent,district 2022-23 bilingual/esl education students percent,district 2022-23 emergent bilingual/english learner students percent,district 2022-23 homeless students percent,district 2022-23 immigrant students percent,district 2022-23 migrant students percent,district 2022-23 military connected students percent,district 2022-23 foster care students percent,district 2022-23 gifted & talented education students percent
A+ ACADEMY,57829,'057,Y,N, ,Charter Schools,City-Large,Y,I,11,'10,DALLAS,17.5,1588.0,218.9,3.3,0.0,0.3,94.0,0.0,1.8,0.6,93.5,100.0,11.0,2.0,52.1,54.2,0.1,0.4,0.0,0.0,0.1,5.5
INSPIRED VISION ACADEMY,57830,'057,Y,N, ,Charter Schools,City-Large,Y,I,11,'10,DALLAS,15.5,1270.0,188.5,3.3,0.0,0.0,95.2,0.0,1.4,0.1,93.6,100.0,9.8,3.1,55.0,55.8,0.2,0.9,0.0,0.2,0.0,4.0
GATEWAY CHARTER ACADEMY,57831,'057,Y,N,ASVAB Test not Offered,Charter Schools,City-Large,Y,I,11,'10,DALLAS,17.7,614.0,63.5,95.0,0.2,0.0,3.4,0.0,0.3,1.1,83.6,100.0,4.4,2.3,0.0,0.0,0.3,0.0,0.0,0.0,0.2,0.5
EDUCATION CENTER INTERNATIONAL ACADEMY,57833,'057,Y,N, ,Charter Schools,Suburb-Large,Y,I,21,'10,DALLAS,11.9,461.0,60.7,20.8,0.7,4.6,29.3,0.4,40.6,3.7,55.1,72.0,7.4,4.8,5.4,5.4,0.0,0.0,0.0,2.0,0.7,0.0
EVOLUTION ACADEMY CHARTER SCHOOL,57834,'057,Y,Y, ,Charter Schools,City-Midsize,Y,I,12,'10,DALLAS,22.6,678.0,54.0,49.3,0.4,1.2,39.7,0.0,8.0,1.5,67.7,100.0,10.8,9.3,13.6,13.4,5.5,0.3,0.0,0.6,0.7,0.0
GOLDEN RULE CHARTER SCHOOL,57835,'057,Y,N,ASVAB Test not Offered,Charter Schools,City-Large,Y,I,11,'10,DALLAS,11.9,1450.0,244.5,5.5,0.2,0.2,92.9,0.0,1.0,0.1,94.6,100.0,9.9,1.8,49.4,56.8,0.0,0.0,0.0,0.1,0.0,0.9
ST ANTHONY SCHOOL,57836,'057,Y,N, ,Charter Schools,City-Large,Y,I,11,'10,DALLAS,14.3,330.0,43.7,95.5,0.6,0.0,3.3,0.0,0.0,0.6,96.1,100.0,13.3,3.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,3.0
LA ACADEMIA DE ESTRELLAS,57839,'057,Y,N, ,Charter Schools,City-Large,Y,I,11,'10,DALLAS,15.5,1001.0,143.2,0.3,0.1,0.1,98.6,0.0,0.9,0.0,88.4,99.9,12.0,6.5,69.9,70.6,0.0,0.0,0.0,0.0,0.0,2.5
RICHLAND COLLEGIATE HIGH SCHOOL,57840,'057,Y,N,ASVAB Alternative Test Offered,Charter Schools,City-Large,Y,I,11,'10,DALLAS,-2.0,264.0,1.0,25.8,0.4,33.3,16.3,0.4,17.8,6.1,20.8,0.0,0.4,4.2,5.7,10.6,0.4,0.0,0.0,0.0,0.0,0.0
CITYSCAPE SCHOOLS,57841,'057,Y,N, ,Charter Schools,City-Large,Y,I,11,'10,DALLAS,18.2,1245.0,155.0,15.3,0.2,0.1,80.4,0.0,2.6,1.4,93.8,100.0,8.8,1.0,55.7,56.5,0.0,0.0,0.0,0.2,0.0,0.0
MANARA ACADEMY,57844,'057,Y,N,ASVAB Test not Offered,Charter Schools,City-Large,Y,I,11,'10,DALLAS,14.8,493.0,49.7,25.4,1.0,30.8,5.9,0.2,34.7,2.0,57.6,100.0,6.5,2.2,55.0,55.4,0.0,0.0,0.0,0.0,0.0,0.0
UME PREPARATORY ACADEMY,57845,'057,Y,N, ,Charter Schools,Rural-Fringe,Y,I,41,'10,DALLAS,15.2,1493.0,163.4,12.7,0.3,1.6,52.6,0.0,29.2,3.5,44.5,100.0,7.0,7.4,9.6,12.1,0.2,0.0,0.0,0.1,0.0,0.0
LEGACY PREPARATORY,57846,'057,Y,N, ,Charter Schools,Suburb-Large,Y,I,21,'10,DALLAS,13.0,1383.0,179.6,17.3,0.9,0.5,71.4,0.3,7.5,2.0,72.7,100.0,8.2,5.0,44.5,45.7,1.2,0.0,0.0,2.2,0.0,4.5
VILLAGE TECH SCHOOLS,57847,'057,Y,N, ,Charter Schools,Suburb-Large,Y,I,21,'10,DALLAS,17.0,1316.0,135.4,37.5,0.2,0.6,42.5,0.0,13.3,6.0,53.6,100.0,8.9,4.8,2.4,2.7,0.2,0.1,0.0,0.2,0.3,0.0
INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS),57848,'057,Y,N, ,Charter Schools,Suburb-Large,Y,I,21,'10,DALLAS,16.0,22139.0,2279.0,26.4,0.3,4.3,57.0,0.1,8.9,2.9,71.9,98.0,7.0,4.5,72.8,39.0,0.5,0.7,0.0,4.1,0.0,6.7
PIONEER TECHNOLOGY & ARTS ACADEMY,57850,'057,Y,N,ASVAB Test not Offered,Charter Schools,Rural-Fringe,Y,I,41,'10,DALLAS,13.3,2462.0,249.0,14.7,0.1,1.9,43.1,0.2,35.6,4.4,39.0,73.2,8.4,6.9,15.8,16.0,0.2,0.0,0.0,0.0,0.1,6.5
BRIDGEWAY PREPARATORY ACADEMY,57851,'057,Y,N, ,Charter Schools,Suburb-Large,Y,I,21,'10,DALLAS,15.2,117.0,14.9,38.5,0.9,9.4,38.5,0.0,12.0,0.9,69.2,0.0,13.7,0.0,32.5,33.3,0.0,0.0,0.0,3.4,0.0,0.0
CARROLLTON-FARMERS BRANCH ISD,57903,'057,N,N, ,Major Suburban,Suburb-Large,N,B,21,'10,DALLAS,13.4,24747.0,3650.9,17.5,0.4,11.6,56.5,0.1,10.5,3.4,66.4,92.1,15.5,4.1,39.2,38.7,0.8,7.3,0.0,0.0,0.0,11.3
CEDAR HILL ISD,57904,'057,N,N, ,Major Suburban,Suburb-Large,N,B,21,'10,DALLAS,15.8,6920.0,839.5,64.7,0.4,0.9,27.0,0.1,2.8,4.2,70.7,91.5,8.2,4.6,8.6,8.5,0.3,0.5,0.0,4.0,0.7,6.0
DALLAS ISD,57905,'057,N,N, ,Major Urban,City-Large,N,A,11,'10,DALLAS,14.2,141169.0,21002.0,20.6,0.4,1.2,70.2,0.1,6.1,1.3,84.9,96.7,11.1,5.1,47.0,48.8,1.9,6.4,0.0,0.4,0.2,18.8
DESOTO ISD,57906,'057,N,N, ,Major Suburban,Suburb-Large,N,B,21,'10,DALLAS,15.6,6322.0,795.5,71.3,0.3,0.3,23.5,0.0,1.7,2.9,65.7,99.5,10.3,3.7,10.8,11.1,0.4,0.5,0.0,0.1,1.1,4.8
DUNCANVILLE ISD,57907,'057,N,N, ,Major Suburban,Suburb-Large,N,B,21,'10,DALLAS,15.8,11915.0,1646.7,39.8,0.2,0.9,54.7,0.0,2.2,2.1,82.2,61.8,10.4,3.6,22.9,24.3,0.7,1.0,0.0,1.3,0.6,5.1
GARLAND ISD,57909,'057,N,N, ,Major Suburban,Suburb-Large,N,B,21,'10,DALLAS,15.2,52767.0,7173.2,18.4,1.4,9.6,52.5,0.1,14.8,3.1,71.5,94.3,11.4,7.8,37.5,38.9,1.2,2.9,0.0,1.1,0.1,8.2
GRAND PRAIRIE ISD,57910,'057,N,N, ,Major Suburban,Suburb-Large,N,B,21,'10,DALLAS,14.6,27019.0,3786.3,17.3,0.4,3.2,68.7,0.1,7.9,2.4,75.4,68.9,9.9,6.9,36.6,36.4,2.7,1.7,0.0,0.3,0.2,6.7
HIGHLAND PARK ISD,57911,'057,N,N, ,Major Suburban,Suburb-Large,N,B,21,'10,DALLAS,14.2,6551.0,859.6,0.7,0.4,7.2,6.6,0.1,81.5,3.4,0.4,0.0,12.2,16.1,1.0,1.1,0.0,0.0,0.0,0.0,0.0,16.4
IRVING ISD,57912,'057,N,N, ,Major Suburban,City-Large,N,B,11,'10,DALLAS,14.8,31767.0,4267.9,12.4,2.0,3.2,73.3,0.2,7.7,1.2,86.9,67.7,9.4,6.9,54.2,52.3,1.9,8.5,0.0,0.0,0.1,14.2
LANCASTER ISD,57913,'057,N,N, ,Major Suburban,Suburb-Large,N,B,21,'10,DALLAS,15.9,7032.0,916.7,73.0,0.5,0.2,22.7,0.1,1.1,2.3,86.6,100.0,9.2,3.5,10.6,10.7,4.5,0.3,0.0,4.6,0.7,8.3
MESQUITE ISD,57914,'057,N,N, ,Major Suburban,Suburb-Large,N,B,21,'10,DALLAS,14.7,38356.0,5430.2,25.1,0.6,1.2,61.8,0.1,9.0,2.3,83.1,100.0,14.6,9.7,31.9,33.6,2.0,1.2,0.0,3.3,0.3,7.2
RICHARDSON ISD,57916,'057,N,N, ,Major Suburban,City-Large,N,B,11,'10,DALLAS,12.8,37260.0,5616.2,21.8,0.3,7.2,37.6,0.1,30.0,3.1,57.0,53.9,14.2,10.5,30.1,30.3,1.9,9.4,0.0,1.3,0.5,10.6
SUNNYVALE ISD,57919,'057,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'10,DALLAS,14.6,2205.0,289.0,9.7,0.3,23.8,17.1,0.1,44.8,4.3,19.3,100.0,14.1,9.0,7.4,9.3,0.7,1.0,0.0,5.6,0.2,11.4
COPPELL ISD,57922,'057,N,N, ,Major Suburban,Suburb-Large,N,B,21,'10,DALLAS,14.9,13361.0,1486.9,4.2,0.2,55.6,13.2,0.1,23.3,3.4,9.9,30.9,9.9,6.5,18.7,17.8,0.3,6.8,0.0,2.7,0.1,13.4
DAWSON ISD,58902,'058,N,N, ,Rural,Rural-Remote,N,H,43,'17,DAWSON,10.2,139.0,21.9,0.7,0.0,0.0,69.1,0.0,26.6,3.6,74.1,100.0,10.1,5.8,15.1,15.1,0.0,2.9,1.4,2.2,0.0,5.0
KLONDIKE ISD,58905,'058,N,N, ,Rural,Rural-Remote,N,H,43,'17,DAWSON,10.9,254.0,47.9,0.0,0.0,0.0,39.4,0.0,59.1,1.6,28.3,100.0,11.4,5.1,6.3,6.3,0.0,1.2,0.0,5.9,0.4,3.9
LAMESA ISD,58906,'058,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'17,DAWSON,15.0,1588.0,301.7,3.3,0.2,0.6,84.4,0.0,10.9,0.6,79.7,100.0,14.2,10.1,5.4,5.5,1.6,0.0,0.0,1.2,0.3,7.1
SANDS CISD,58909,'058,N,N, ,Rural,Rural-Remote,N,H,43,'17,DAWSON,11.3,240.0,41.4,0.0,1.3,0.4,43.8,0.0,52.9,1.7,59.2,100.0,12.9,10.0,12.1,12.1,0.0,0.4,0.8,0.4,0.0,9.6
HEREFORD ISD,59901,'059,N,N, ,Other Central City Suburban,Town-Distant,N,D,32,'16,DEAF SMITH,14.7,3952.0,586.5,0.6,0.2,0.2,91.3,0.0,7.4,0.4,84.6,100.0,12.4,4.2,25.2,26.4,1.0,2.0,5.5,2.5,0.3,2.6
WALCOTT ISD,59902,'059,N,N, ,Rural,Rural-Remote,N,H,43,'16,DEAF SMITH,16.7,148.0,22.6,0.0,0.0,0.0,83.1,0.0,16.2,0.7,57.4,100.0,16.2,1.4,8.1,9.5,7.4,0.0,0.0,0.0,0.0,2.0
COOPER ISD,60902,'060,N,N, ,Rural,Rural-Remote,N,H,43,'08,DELTA,12.5,888.0,136.0,7.7,1.1,0.3,17.1,0.0,68.7,5.1,66.2,100.0,14.3,11.3,4.3,4.2,0.9,0.1,0.2,2.8,0.3,9.8
FANNINDEL ISD,60914,'060,N,N, ,Rural,Rural-Remote,N,H,43,'08,DELTA,7.4,147.0,45.2,40.8,1.4,0.7,10.9,0.0,38.1,8.2,90.5,100.0,23.1,14.3,9.5,9.5,1.4,0.0,0.0,0.0,0.0,3.4
NORTH TEXAS COLLEGIATE ACADEMY,61802,'061,Y,N, ,Charter Schools,Suburb-Large,Y,I,21,'11,DENTON,17.3,761.0,67.9,21.8,0.1,2.0,53.4,0.0,19.2,3.5,96.2,100.0,9.7,0.5,37.2,37.6,25.8,0.0,0.0,0.4,0.3,0.0
LEADERSHIP PREP SCHOOL,61804,'061,Y,N, ,Charter Schools,Suburb-Large,Y,I,21,'10,DENTON,18.6,1351.0,122.5,14.7,1.0,31.5,19.8,0.0,28.6,4.4,2.7,0.0,8.8,9.5,7.3,7.5,0.5,0.5,0.0,0.4,0.0,7.4
TRIVIUM ACADEMY,61805,'061,Y,N, ,Charter Schools,Suburb-Large,Y,I,21,'11,DENTON,10.9,621.0,72.9,6.6,0.0,20.3,22.1,0.3,43.6,7.1,3.7,0.0,11.0,12.1,8.4,10.3,0.0,0.8,0.0,4.0,0.0,18.0
DENTON ISD,61901,'061,N,N, ,Other Central City Suburban,City-Midsize,N,D,12,'11,DENTON,13.4,32521.0,4404.1,20.9,0.4,3.8,34.3,0.2,36.0,4.4,48.7,33.9,13.8,10.8,18.6,17.6,0.9,1.3,0.0,2.1,0.3,9.5
LEWISVILLE ISD,61902,'061,N,N, ,Other Central City,Suburb-Large,N,C,21,'11,DENTON,13.3,49060.0,6361.6,12.0,0.4,16.2,31.1,0.1,35.4,4.7,37.3,39.2,17.9,7.4,21.8,21.1,1.4,2.8,0.0,1.6,0.1,11.4
PILOT POINT ISD,61903,'061,N,N, ,Non-metropolitan Stable,Town-Fringe,N,G,31,'11,DENTON,13.8,1483.0,207.8,1.9,0.4,0.3,50.4,0.1,43.3,3.6,51.6,47.3,14.0,9.0,30.5,30.8,1.3,0.4,0.0,4.4,0.3,6.7
KRUM ISD,61905,'061,N,N, ,Non-metropolitan Stable,Town-Fringe,N,G,31,'11,DENTON,13.4,2298.0,341.3,2.6,0.5,0.8,33.8,0.3,58.5,3.6,38.8,28.2,16.7,10.7,15.4,15.7,0.5,1.1,0.1,2.3,0.3,6.4
PONDER ISD,61906,'061,N,N, ,Non-metropolitan Stable,Rural-Distant,N,G,42,'11,DENTON,14.5,1640.0,220.6,1.5,0.5,0.3,35.2,0.0,58.6,3.8,40.7,45.9,13.5,9.8,14.6,14.6,0.9,0.2,0.0,6.3,0.2,10.2
AUBREY ISD,61907,'061,N,N, ,Non-metropolitan Fast Growing,Rural-Fringe,N,F,41,'11,DENTON,15.9,3538.0,381.9,15.7,0.4,1.8,25.0,0.2,51.2,5.6,34.3,50.9,13.7,11.3,8.2,8.4,0.9,0.6,0.0,6.9,0.4,5.0
SANGER ISD,61908,'061,N,N, ,Non-metropolitan Stable,Rural-Fringe,N,G,41,'11,DENTON,14.9,2801.0,414.8,3.3,0.4,0.5,32.4,0.1,58.7,4.6,46.2,100.0,15.9,9.4,10.4,10.5,2.1,0.3,0.0,7.0,0.0,5.1
ARGYLE ISD,61910,'061,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'11,DENTON,14.4,4966.0,617.8,2.8,0.7,9.5,14.8,0.2,67.5,4.6,7.3,1.9,10.3,11.1,5.7,5.8,0.0,1.1,0.0,7.7,0.1,9.0
NORTHWEST ISD,61911,'061,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'11,DENTON,15.6,29248.0,3132.6,11.8,0.5,6.6,24.5,0.2,52.8,3.5,26.8,9.9,14.1,10.6,9.1,9.5,0.3,1.1,0.0,8.0,0.2,10.6
LAKE DALLAS ISD,61912,'061,N,N, ,Other Central City Suburban,Suburb-Large,N,D,21,'11,DENTON,13.5,3900.0,566.6,9.7,0.8,3.1,34.7,0.1,46.4,5.2,42.9,66.8,12.9,17.1,12.6,12.8,0.3,1.6,0.0,0.6,0.3,7.1
LITTLE ELM ISD,61914,'061,N,N, ,Other Central City Suburban,Suburb-Large,N,D,21,'11,DENTON,15.9,8351.0,983.1,18.9,0.3,5.1,37.8,0.2,32.0,5.7,48.3,64.3,11.5,8.3,24.8,21.2,0.6,1.3,0.0,0.9,0.2,7.6
CUERO ISD,62901,'062,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'03,DEWITT,12.1,1937.0,351.3,8.6,0.1,0.5,50.7,0.0,37.7,2.4,64.4,66.9,18.4,12.1,3.6,3.8,4.9,0.2,0.0,1.0,0.7,5.1
NORDHEIM ISD,62902,'062,N,N, ,Rural,Rural-Remote,N,H,43,'03,DEWITT,8.1,131.0,29.6,2.3,1.5,0.0,44.3,0.0,50.4,1.5,52.7,100.0,9.9,6.1,0.0,0.0,0.0,0.0,0.0,6.9,0.0,1.5
YOAKUM ISD,62903,'062,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'03,DEWITT,10.9,1546.0,372.6,5.6,0.0,0.3,67.6,0.0,24.3,2.3,75.7,48.0,18.2,11.5,19.1,19.2,1.9,0.9,0.3,1.0,0.1,3.2
YORKTOWN ISD,62904,'062,N,N, ,Rural,Rural-Remote,N,H,43,'03,DEWITT,11.1,536.0,94.7,2.2,0.4,0.4,47.2,0.0,48.7,1.1,58.0,73.5,13.4,9.7,1.3,1.3,0.9,0.0,0.0,7.1,0.0,8.2
WESTHOFF ISD,62905,'062,N,N, ,Rural,Rural-Remote,N,H,43,'03,DEWITT,10.4,81.0,18.0,6.2,0.0,0.0,37.0,0.0,56.8,0.0,43.2,100.0,7.4,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEYERSVILLE ISD,62906,'062,N,N, ,Rural,Rural-Distant,N,H,42,'03,DEWITT,12.5,150.0,21.8,1.3,0.0,0.0,14.7,0.0,82.0,2.0,36.7,100.0,7.3,6.7,0.7,0.7,0.0,0.0,0.0,0.7,0.7,6.7
SPUR ISD,63903,'063,N,N, ,Rural,Rural-Remote,N,H,43,'17,DICKENS,9.2,225.0,44.7,0.4,0.0,0.0,41.8,0.0,52.0,5.8,57.8,99.6,20.9,16.4,1.3,1.3,2.7,0.0,0.0,0.0,0.0,6.7
PATTON SPRINGS ISD,63906,'063,N,N, ,Rural,Rural-Remote,N,H,43,'17,DICKENS,6.3,77.0,29.0,1.3,0.0,0.0,42.9,0.0,55.8,0.0,75.3,100.0,16.9,5.2,3.9,3.9,2.6,0.0,0.0,9.1,0.0,13.0
CARRIZO SPRINGS CISD,64903,'064,N,N, ,Other Central City Suburban,Town-Remote,N,D,33,'20,DIMMIT,13.4,1903.0,351.7,0.4,0.1,0.8,95.2,0.0,3.4,0.2,76.9,100.0,10.5,10.8,4.5,5.4,3.3,0.0,2.0,0.2,0.6,6.9
CLARENDON ISD,65901,'065,N,N, ,Rural,Rural-Remote,N,H,43,'16,DONLEY,9.0,434.0,91.9,7.6,0.2,0.0,13.6,0.0,72.8,5.8,51.4,100.0,15.7,8.8,0.2,0.2,1.6,0.0,1.2,0.0,0.9,10.6
HEDLEY ISD,65902,'065,N,N, ,Rural,Rural-Remote,N,H,43,'16,DONLEY,6.9,117.0,32.6,0.0,0.0,0.0,27.4,0.0,67.5,5.1,85.5,100.0,30.8,9.4,2.6,2.6,0.0,1.7,0.0,2.6,0.0,0.9
RAMIREZ CSD,66005,'066,N,N, ,Rural,Rural-Remote,N,H,43,'02,DUVAL,7.0,21.0,9.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,90.5,100.0,9.5,0.0,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0
BENAVIDES ISD,66901,'066,N,N, ,Rural,Rural-Remote,N,H,43,'02,DUVAL,14.2,353.0,56.0,1.4,0.0,0.3,88.1,0.3,8.8,1.1,72.0,100.0,7.4,1.4,48.4,19.0,0.0,0.0,1.1,5.4,0.3,2.3
SAN DIEGO ISD,66902,'066,N,N, ,Non-metropolitan Stable,Town-Distant,N,G,32,'02,DUVAL,14.3,1495.0,215.2,0.0,0.0,0.2,98.2,0.0,1.5,0.1,90.2,100.0,14.0,7.6,0.8,0.9,0.5,0.0,0.1,3.6,0.1,4.8
FREER ISD,66903,'066,N,N, ,Rural,Rural-Remote,N,H,43,'02,DUVAL,12.9,734.0,137.3,0.3,0.1,0.3,93.7,0.0,5.3,0.3,80.9,100.0,14.3,7.6,3.0,3.3,0.0,0.0,0.1,1.4,0.1,7.8
CISCO ISD,67902,'067,N,N, ,Rural,Town-Remote,N,H,33,'14,EASTLAND,10.1,829.0,161.2,0.7,0.5,0.8,16.8,0.0,79.9,1.3,54.4,71.5,15.8,11.0,1.8,1.8,6.8,0.0,0.0,4.2,0.1,6.6
EASTLAND ISD,67903,'067,N,N, ,Non-metropolitan Stable,Town-Remote,N,G,33,'14,EASTLAND,11.4,1057.0,168.0,0.6,0.0,1.2,28.5,0.2,67.9,1.6,61.3,70.8,13.0,7.8,6.9,7.4,2.7,0.0,0.0,0.2,0.0,7.9
GORMAN ISD,67904,'067,N,N, ,Rural,Rural-Remote,N,H,43,'14,EASTLAND,8.3,253.0,67.4,0.4,0.0,0.4,40.3,1.6,54.9,2.4,72.3,53.0,16.6,13.4,7.1,7.5,13.8,0.4,0.0,0.0,0.0,3.2
RANGER ISD,67907,'067,N,N, ,Rural,Rural-Remote,N,H,43,'14,EASTLAND,8.3,323.0,76.3,1.2,0.3,0.0,24.8,0.0,72.1,1.5,77.4,48.6,21.1,13.9,3.1,3.1,0.6,0.0,0.0,0.0,0.0,4.6
RISING STAR ISD,67908,'067,N,N, ,Rural,Rural-Remote,N,H,43,'14,EASTLAND,8.9,183.0,40.5,1.1,0.0,0.5,19.7,0.0,77.0,1.6,67.2,51.9,19.7,4.4,3.8,3.8,0.5,0.0,0.0,0.5,0.5,1.6
COMPASS ACADEMY CHARTER SCHOOL,68802,'068,Y,N, ,Charter Schools,City-Midsize,Y,I,12,'18,ECTOR,16.5,1399.0,118.9,1.6,0.3,0.4,34.7,0.1,61.8,1.1,6.6,1.9,10.2,7.1,0.2,0.2,0.0,0.0,0.0,0.1,0.0,0.4
ECTOR COUNTY ISD,68901,'068,N,N, ,Other Central City,City-Midsize,N,C,12,'18,ECTOR,18.7,33340.0,3784.9,3.6,0.2,0.9,79.4,0.3,14.2,1.4,66.4,69.3,10.4,0.9,23.6,23.8,4.0,2.2,0.0,0.8,0.2,9.0
ROCKSPRINGS ISD,69901,'069,N,N, ,Rural,Rural-Remote,N,H,43,'15,EDWARDS,11.6,237.0,52.4,0.0,0.0,0.0,81.0,0.0,19.0,0.0,67.9,100.0,12.2,8.9,7.6,8.0,0.0,0.0,0.0,0.4,0.0,3.4
NUECES CANYON CISD,69902,'069,N,N, ,Rural,Rural-Remote,N,H,43,'15,EDWARDS,8.6,248.0,52.3,1.2,0.4,0.0,39.5,0.0,57.3,1.6,61.7,100.0,15.3,3.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,9.7
WAXAHACHIE FAITH FAMILY ACADEMY,70801,'070,Y,N, ,Charter Schools,City-Large,Y,I,11,'10,ELLIS,21.2,2768.0,312.0,23.9,0.1,0.4,70.7,0.0,3.7,1.2,75.2,100.0,10.0,1.7,61.8,57.7,0.0,2.9,0.1,0.0,0.2,3.5
AVALON ISD,70901,'070,N,N, ,Rural,Rural-Distant,N,H,42,'10,ELLIS,12.2,337.0,51.4,1.5,0.0,0.3,37.7,0.0,57.6,3.0,53.1,98.8,18.7,3.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,3.9
ENNIS ISD,70903,'070,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'10,ELLIS,14.2,6185.0,792.1,13.1,0.2,0.4,56.1,0.5,27.8,1.9,71.7,98.3,13.0,10.1,17.8,17.7,1.6,0.7,0.0,0.1,0.0,8.0
FERRIS ISD,70905,'070,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'10,ELLIS,12.9,2716.0,500.6,7.6,0.2,0.4,73.7,0.1,16.5,1.5,80.8,99.9,14.6,4.8,34.6,36.2,1.4,0.3,0.0,1.4,0.2,5.4
ITALY ISD,70907,'070,N,N, ,Rural,Rural-Distant,N,H,42,'10,ELLIS,11.4,634.0,119.7,12.5,0.3,0.2,31.9,0.3,51.9,3.0,65.8,99.8,18.1,9.3,10.3,10.3,0.2,0.0,0.0,0.0,0.6,1.9
MIDLOTHIAN ISD,70908,'070,N,N, ,Other Central City,Suburb-Large,N,C,21,'10,ELLIS,16.0,10990.0,1221.7,12.7,0.3,1.0,23.8,0.1,57.1,5.1,29.7,18.2,14.3,11.0,4.7,4.8,0.8,0.6,0.0,3.9,0.3,5.6
MILFORD ISD,70909,'070,N,N, ,Rural,Rural-Distant,N,H,42,'10,ELLIS,10.1,247.0,44.0,21.9,0.0,0.0,44.1,0.0,29.1,4.9,75.7,100.0,15.0,8.9,19.0,19.8,0.0,0.0,0.8,2.4,0.0,6.5
PALMER ISD,70910,'070,N,N, ,Other Central City Suburban,Rural-Fringe,N,D,41,'10,ELLIS,14.3,1304.0,185.9,1.8,0.2,0.5,46.0,0.0,49.2,2.3,53.0,71.6,20.9,8.7,14.1,15.6,0.2,0.0,0.0,1.1,0.5,4.8
RED OAK ISD,70911,'070,N,N, ,Other Central City Suburban,Suburb-Large,N,D,21,'10,ELLIS,15.7,6499.0,927.8,33.7,0.3,1.0,40.3,0.0,21.1,3.7,60.9,42.9,13.9,8.2,12.5,14.0,0.8,0.5,0.0,0.5,0.8,6.4
WAXAHACHIE ISD,70912,'070,N,N, ,Other Central City,Suburb-Large,N,C,21,'10,ELLIS,14.2,10837.0,1595.3,17.6,0.6,0.7,35.1,0.2,42.2,3.6,49.7,74.3,16.7,10.8,9.5,9.5,0.8,0.3,0.0,8.5,0.5,8.2
MAYPEARL ISD,70915,'070,N,N, ,Other Central City Suburban,Rural-Distant,N,D,42,'10,ELLIS,14.6,1212.0,187.7,2.1,0.1,0.4,24.2,0.1,70.1,3.0,41.5,70.0,13.5,11.1,7.3,7.5,2.3,0.2,0.0,2.6,0.2,5.9
BURNHAM WOOD CHARTER SCHOOL DISTRICT,71801,'071,Y,N, ,Charter Schools,City-Large,Y,I,11,'19,EL PASO,15.3,1359.0,165.9,0.8,0.1,0.2,91.5,0.1,6.3,1.1,66.4,99.9,3.5,1.3,59.2,50.9,0.0,2.4,0.5,3.5,0.0,0.0
TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,71803,'071,Y,Y, ,Charter Schools,City-Large,Y,I,11,'19,EL PASO,14.4,188.0,24.7,1.1,0.0,0.0,97.3,0.5,1.1,0.0,87.8,99.5,8.0,1.6,32.4,34.6,0.0,0.0,1.1,1.1,0.0,0.0
EL PASO ACADEMY,71804,'071,Y,Y, ,Charter Schools,City-Large,Y,I,11,'19,EL PASO,25.4,384.0,27.4,1.3,0.3,0.3,94.3,0.0,2.9,1.0,64.6,100.0,8.3,7.3,14.6,18.8,2.3,0.5,0.0,0.3,0.0,0.0
HARMONY PUBLIC SCHOOLS - WEST TEXAS,71806,'071,Y,N, ,Charter Schools,City-Large,Y,I,11,'19,EL PASO,15.0,4967.0,541.1,5.5,0.2,1.1,82.2,0.2,9.1,1.7,74.4,100.0,8.9,4.6,28.1,29.7,0.1,0.0,0.0,0.5,0.1,9.2
LA FE PREPARATORY SCHOOL,71807,'071,Y,N, ,Charter Schools,City-Large,Y,I,11,'19,EL PASO,10.1,184.0,35.0,0.0,0.0,0.0,99.5,0.0,0.5,0.0,100.0,100.0,7.1,2.7,95.1,89.1,0.0,0.0,1.1,0.5,0.0,0.0
